base_date,emd_nm,card_use_cnt,card_use_amt
2018-03,오라동,90803,2948865790
2018-03,외도동,144502,4326760833
2018-03,용담1동,42414,1399351018
2018-03,용담2동,98280,3227484360
2018-03,우도면,2870,147694433
2018-03,이도1동,57007,1650687795
2018-03,이도2동,339774,10360505615
2018-03,이호동,22554,713299367
2018-03,일도1동,19845,669210970
2018-03,일도2동,217870,6644195126
2018-03,정방동,13254,548482461
2018-03,조천읍,98799,3168247949
2018-03,중문동,47096,1741894139
2018-03,중앙동,16763,756797979
2018-03,천지동,15755,651612041
2018-03,추자면,2738,99151576
2018-03,표선면,34159,1279278607
2018-03,한경면,21826,792250131
2018-03,한림읍,68292,2546694741
2018-03,화북동,152750,4590034638
2018-03,효돈동,18692,712454082
2018-04,건입동,63252,2223501796
2018-04,구좌읍,44662,1543716175
2018-04,남원읍,52175,2029072176
2018-04,노형동,413252,12400583104
2018-04,대륜동,67656,2444432536
2018-04,대정읍,92489,3131526006
2018-04,대천동,65955,2293072422
2018-04,도두동,16301,672750840
2018-04,동홍동,120386,4256307747
2018-04,봉개동,15893,546917453
2018-04,삼도1동,95869,2979875318
2018-04,삼도2동,52977,1670489193
2018-04,삼양동,141598,4138799513
2018-04,서홍동,57090,2122943033
2018-04,성산읍,42812,1455140594
2018-04,송산동,16251,788686476
2018-04,아라동,201340,6026150824
2018-04,안덕면,39334,1369118430
2018-04,알수없음,5060,168054124
2018-04,애월읍,151422,5050759094
2018-04,연동,313588,9784210849
2018-04,영천동,21833,816330690
2018-04,예래동,16460,581205709
2018-04,오라동,91438,2798820251
2018-04,외도동,145213,4246794704
2018-04,용담1동,42835,1435711984
2018-04,용담2동,99527,3154743195
2018-04,우도면,2934,119277216
2018-04,이도1동,57498,1757050762
2018-04,이도2동,345552,10345653001
2018-04,이호동,21549,694000023
2018-04,일도1동,20164,737613752
2018-04,일도2동,215302,6479175556
2018-04,정방동,13111,505545372
2018-04,조천읍,100748,3352589318
2018-04,중문동,48526,1787709558
2018-04,중앙동,17749,752578751
2018-04,천지동,17103,681324204
2018-04,추자면,2553,92738858
2018-04,표선면,34827,1378736720
2018-04,한경면,22408,809798666
2018-04,한림읍,71489,2574734359
2018-04,화북동,155375,4514267373
2018-04,효돈동,19889,709040046
2018-05,건입동,67433,2312530593
2018-05,구좌읍,45724,1678741912
2018-05,남원읍,54850,2158034926
2018-05,노형동,440195,13639037789
2018-05,대륜동,71990,2609320193
2018-05,대정읍,98256,3475440156
2018-05,대천동,70161,2475439855
2018-05,도두동,16279,670014860
2018-05,동홍동,129826,4595733919
2018-05,봉개동,17615,664188896
2018-05,삼도1동,102016,3109501203
2018-05,삼도2동,58566,1920592237
2018-05,삼양동,151999,4434249530
2018-05,서홍동,63013,2388410590
2018-05,성산읍,45411,1627047721
2018-05,송산동,17754,725144921
2018-05,아라동,215301,6532934364
2018-05,안덕면,43036,1532618052
2018-05,알수없음,5073,187931451
2018-05,애월읍,161575,5496176542
2018-05,연동,334076,10492586347
2018-05,영천동,23474,844571008
2018-05,예래동,18120,662083788
2018-05,오라동,99546,3168937794
2018-05,외도동,155162,4679206720
2018-05,용담1동,46736,1597313728
2018-05,용담2동,109217,3470144771
2018-05,우도면,3509,145744481
2018-05,이도1동,60091,1883195185
2018-05,이도2동,366652,11381245056
2018-05,이호동,23939,811044466
2018-05,일도1동,21297,709493289
2018-05,일도2동,228428,7045276784
2018-05,정방동,14006,561378830
2018-05,조천읍,107134,3562805990
2018-05,중문동,50307,1810413753
2018-05,중앙동,18586,764150562
2018-05,천지동,17153,702244463
2018-05,추자면,2951,112190324
2018-05,표선면,36224,1463355143
2018-05,한경면,25342,934771036
2018-05,한림읍,77608,2909260041
2018-05,화북동,168013,5102119237
2018-05,효돈동,21561,796152078
2018-06,건입동,65968,2243649435
2018-06,구좌읍,45998,1640048292
2018-06,남원읍,55313,2091150000
2018-06,노형동,431154,12877573186
2018-06,대륜동,72187,2583801601
2018-06,대정읍,90201,3023454425
2018-06,대천동,72815,2473087703
2018-06,도두동,16409,574966170
2018-06,동홍동,128457,4484785655
2018-06,봉개동,16799,586148047
2018-06,삼도1동,101871,3053759612
2018-06,삼도2동,56700,1810866527
2018-06,삼양동,153590,4333558992
2018-06,서홍동,60973,2271198266
2018-06,성산읍,44814,1642819547
2018-06,송산동,17699,741625210
2018-06,아라동,208791,6284843896
2018-06,안덕면,42664,1471070896
2018-06,알수없음,4802,187104600
2018-06,애월읍,158754,5232511921
2018-06,연동,329510,10086426225
2018-06,영천동,24451,866196623
2018-06,예래동,17613,657423155
2018-06,오라동,98619,3098104502
2018-06,외도동,156508,4492945192
2018-06,용담1동,45505,1457724420
2018-06,용담2동,106354,3526064685
2018-06,우도면,3041,146352172
2018-06,이도1동,59972,1808368838
2018-06,이도2동,356281,10746167448
2018-06,이호동,24156,800517810
2018-06,일도1동,20681,740544992
2018-06,일도2동,225489,6741525158
2018-06,정방동,13027,509075942
2018-06,조천읍,104512,3371904407
2018-06,중문동,49859,1811361353
2018-06,중앙동,18684,715693972
2018-06,천지동,17383,727630791
2018-06,추자면,2817,108587868
2018-06,표선면,37037,1464099229
2018-06,한경면,24773,870096561
2018-06,한림읍,75587,2771587528
2018-06,화북동,165185,4754534702
2018-06,효돈동,22523,799968237
2018-07,건입동,70322,2313710143
2018-07,구좌읍,47981,1628190458
2018-07,남원읍,58521,2212695109
2018-07,노형동,453859,13492382763
2018-07,대륜동,79123,2825369184
2018-07,대정읍,83938,2859172960
2018-07,대천동,79345,2640777336
2018-07,도두동,17837,636301380
2018-07,동홍동,140718,4796880852
2018-07,봉개동,18048,588771571
2018-07,삼도1동,104447,3075291006
2018-07,삼도2동,59205,1884792931
2018-07,삼양동,159264,4480984146
2018-07,서홍동,65999,2486645136
2018-07,성산읍,47644,1714242790
2018-07,송산동,18800,767840208
2018-07,아라동,224844,6693771366
2018-07,안덕면,45218,1547545051
2018-07,알수없음,6288,210439552
2018-07,애월읍,169650,5686284893
2018-07,연동,347744,10625597407
2018-07,영천동,27552,967784865
2018-07,예래동,18493,713340592
2018-07,오라동,106185,3340695857
2018-07,외도동,165083,4807828931
2018-07,용담1동,47600,1590597846
2018-07,용담2동,109070,3452969979
2018-07,우도면,3587,127882662
2018-07,이도1동,63079,1858457903
2018-07,이도2동,377962,11418426791
2018-07,이호동,24524,764178255
2018-07,일도1동,23293,901427340
2018-07,일도2동,236505,7113264024
2018-07,정방동,12810,515331044
2018-07,조천읍,114249,3663678630
2018-07,중문동,54685,1956670012
2018-07,중앙동,19792,767768221
2018-07,천지동,18517,703624011
2018-07,추자면,3183,130262367
2018-07,표선면,39067,1491390374
2018-07,한경면,26497,1002064356
2018-07,한림읍,79936,2873875310
2018-07,화북동,173664,5139561509
2018-07,효돈동,23490,854023990
2018-08,건입동,69540,2365319217
2018-08,구좌읍,49055,1764171599
2018-08,남원읍,57811,2268247833
2018-08,노형동,456998,13653405212
2018-08,대륜동,78642,2797811190
2018-08,대정읍,100633,3561841212
2018-08,대천동,79445,2685725015
2018-08,도두동,19496,687747644
2018-08,동홍동,142535,4930154545
2018-08,봉개동,17764,604515711
2018-08,삼도1동,106262,3144733311
2018-08,삼도2동,61382,1957282123
2018-08,삼양동,165525,4832133377
2018-08,서홍동,67629,2477897992
2018-08,성산읍,49584,1766868213
2018-08,송산동,19142,774928167
2018-08,아라동,230715,6957299643
2018-08,안덕면,47708,1705141124
2018-08,알수없음,7475,237965036
2018-08,애월읍,174447,5888148424
2018-08,연동,352651,10945004647
2018-08,영천동,27181,984623884
2018-08,예래동,20132,746596284
2018-08,오라동,108413,3431247236
2018-08,외도동,163382,4765821409
2018-08,용담1동,48222,1511249199
2018-08,용담2동,111715,3724218926
2018-08,우도면,3740,160092563
2018-08,이도1동,61937,1825915730
2018-08,이도2동,393259,11946050925
2018-08,이호동,25095,802438494
2018-08,일도1동,22875,787565087
2018-08,일도2동,245696,7502214614
2018-08,정방동,12847,513956414
2018-08,조천읍,118054,3821077127
2018-08,중문동,55446,1989576170
2018-08,중앙동,19754,800618734
2018-08,천지동,19928,797783820
2018-08,추자면,3081,123859374
2018-08,표선면,38933,1488707309
2018-08,한경면,28403,969824808
2018-08,한림읍,82956,3019698752
2018-08,화북동,175205,5156714086
2018-08,효돈동,24489,877279433
2018-09,건입동,63770,2351837966
2018-09,구좌읍,46236,1789609082
2018-09,남원읍,53995,2211538871
2018-09,노형동,426350,13491966513
2018-09,대륜동,70899,2706506838
2018-09,대정읍,98342,3719297264
2018-09,대천동,71845,2569986956
2018-09,도두동,17896,683895210
2018-09,동홍동,133346,5003402014
2018-09,봉개동,16528,582000773
2018-09,삼도1동,98550,3118686692
2018-09,삼도2동,58086,1953172090
2018-09,삼양동,152524,4670292892
2018-09,서홍동,61031,2455574732
2018-09,성산읍,44791,1782906072
2018-09,송산동,17985,827516617
2018-09,아라동,214417,6771301433
2018-09,안덕면,44471,1652751651
2018-09,알수없음,6052,220159204
2018-09,애월읍,157453,5516891397
2018-09,연동,323125,10444707307
2018-09,영천동,24041,919353517
2018-09,예래동,17566,672889489
2018-09,오라동,99187,3336557222
2018-09,외도동,152034,4593241247
2018-09,용담1동,46170,1594175272
2018-09,용담2동,102955,3381105822
2018-09,우도면,3521,158207144
2018-09,이도1동,58809,1878231925
2018-09,이도2동,369159,11606153442
2018-09,이호동,23197,815107194
2018-09,일도1동,21185,813284244
2018-09,일도2동,229247,7307660048
2018-09,정방동,11071,490631269
2018-09,조천읍,107347,3572977027
2018-09,중문동,51640,1994817605
2018-09,중앙동,18109,896694365
2018-09,천지동,18512,866996368
2018-09,추자면,2884,123534524
2018-09,표선면,37544,1458940496
2018-09,한경면,26271,1037986872
2018-09,한림읍,74888,2905287577
2018-09,화북동,161007,5067805393
2018-09,효돈동,22578,831783300
2018-10,건입동,64560,2234531303
2018-10,구좌읍,46657,1628512182
2018-10,남원읍,52697,1970706193
2018-10,노형동,429692,12859358356
2018-10,대륜동,72956,2505415803
2018-10,대정읍,97878,3286665897
2018-10,대천동,76103,2488488486
2018-10,도두동,17039,658799305
2018-10,동홍동,132876,4668082621
2018-10,봉개동,16414,569413205
2018-10,삼도1동,96244,2858372719
2018-10,삼도2동,56937,1818980025
2018-10,삼양동,155192,4422010635
2018-10,서홍동,61892,2339773247
2018-10,성산읍,44068,1563031615
2018-10,송산동,17447,733523840
2018-10,아라동,216119,6204396773
2018-10,안덕면,43726,1500360310
2018-10,알수없음,6444,217978179
2018-10,애월읍,160986,5280945370
2018-10,연동,328007,10139660297
2018-10,영천동,25198,845094056
2018-10,예래동,18116,649243588
2018-10,오라동,101322,3179554034
2018-10,외도동,156838,4496141299
2018-10,용담1동,45070,1404414254
2018-10,용담2동,100176,3368350136
2018-10,우도면,3355,130016117
2018-10,이도1동,59002,1757826902
2018-10,이도2동,365466,10806190798
2018-10,이호동,22026,727291546
2018-10,일도1동,20775,782844285
2018-10,일도2동,220970,6568820537
2018-10,정방동,12001,515681330
2018-10,조천읍,110236,3499810130
2018-10,중문동,52659,1922068116
2018-10,중앙동,16642,742655347
2018-10,천지동,18271,738605103
2018-10,추자면,2660,97027075
2018-10,표선면,35844,1330728076
2018-10,한경면,26065,880158399
2018-10,한림읍,74596,2721916097
2018-10,화북동,161880,4640622747
2018-10,효돈동,22551,817678699
2018-11,건입동,63763,2187045531
2018-11,구좌읍,42468,1532615738
2018-11,남원읍,52090,2010960150
2018-11,노형동,412425,12227502774
2018-11,대륜동,72266,2387109467
2018-11,대정읍,97519,3300214322
2018-11,대천동,74092,2405185306
2018-11,도두동,18129,683342202
2018-11,동홍동,128148,4490603000
2018-11,봉개동,17120,531362236
2018-11,삼도1동,95070,2822927715
2018-11,삼도2동,53788,1738296001
2018-11,삼양동,151986,4320739827
2018-11,서홍동,60289,2220297641
2018-11,성산읍,43230,1457506202
2018-11,송산동,17498,754449489
2018-11,아라동,211030,6246296271
2018-11,안덕면,44524,1532950041
2018-11,알수없음,5245,200023456
2018-11,애월읍,156217,5265661769
2018-11,연동,318635,9847808713
2018-11,영천동,23997,817596405
2018-11,예래동,17020,636075236
2018-11,오라동,97256,2950623559
2018-11,외도동,150550,4352854621
2018-11,용담1동,42925,1328245215
2018-11,용담2동,98725,3261180821
2018-11,우도면,3650,142622891
2018-11,이도1동,56253,1731659011
2018-11,이도2동,351878,10265476875
2018-11,이호동,23485,759190038
2018-11,일도1동,20661,748754004
2018-11,일도2동,217504,6579036330
2018-11,정방동,11305,473170519
2018-11,조천읍,106074,3262248263
2018-11,중문동,50333,1968534182
2018-11,중앙동,17006,685715931
2018-11,천지동,17644,715536080
2018-11,추자면,2285,94854162
2018-11,표선면,36580,1341411461
2018-11,한경면,24182,829564604
2018-11,한림읍,72165,2642690316
2018-11,화북동,157361,4525278988
2018-11,효돈동,21989,808002216
2018-12,건입동,66218,2319809891
2018-12,구좌읍,44930,1623633322
2018-12,남원읍,54608,2092702137
2018-12,노형동,431875,13690085356
2018-12,대륜동,74929,2672697653
2018-12,대정읍,93882,3226000509
2018-12,대천동,77168,2546161654
2018-12,도두동,19336,799080661
2018-12,동홍동,137175,4879627924
2018-12,봉개동,18797,599618312
2018-12,삼도1동,98437,3096277024
2018-12,삼도2동,55755,1824415385
2018-12,삼양동,155850,4710540819
2018-12,서홍동,60163,2386574726
2018-12,성산읍,47771,1783992464
2018-12,송산동,17807,805531259
2018-12,아라동,222927,6928811647
2018-12,안덕면,45640,1634738046
2018-12,알수없음,5245,201375148
2018-12,애월읍,163978,5586372350
2018-12,연동,323521,10477261353
2018-12,영천동,24860,892078932
2018-12,예래동,18334,670615130
2018-12,오라동,105570,3344631859
2018-12,외도동,157346,4708234684
2018-12,용담1동,44675,1486387701
2018-12,용담2동,103978,3522086814
2018-12,우도면,3865,170983386
2018-12,이도1동,58128,1905116922
2018-12,이도2동,369368,11352776636
2018-12,이호동,24397,852662172
2018-12,일도1동,22561,837599890
2018-12,일도2동,224355,7092841921
2018-12,정방동,11119,476932239
2018-12,조천읍,111060,3670001289
2018-12,중문동,53212,2100855707
2018-12,중앙동,17515,840955907
2018-12,천지동,18009,804286143
2018-12,추자면,2365,87307070
2018-12,표선면,36200,1387718337
2018-12,한경면,24467,929202154
2018-12,한림읍,75232,2790155476
2018-12,화북동,159953,4993372268
2018-12,효돈동,24805,932762479
2019-01,건입동,64485,2357141897
2019-01,구좌읍,46086,1711114820
2019-01,남원읍,53532,2083522786
2019-01,노형동,421568,12861046371
2019-01,대륜동,72592,2577482297
2019-01,대정읍,95278,3410283484
2019-01,대천동,77677,2563535188
2019-01,도두동,17909,705445815
2019-01,동홍동,133235,4648306785
2019-01,봉개동,19566,614267941
2019-01,삼도1동,95801,2995147050
2019-01,삼도2동,54809,1754095117
2019-01,삼양동,151790,4513304266
2019-01,서홍동,60698,2408583262
2019-01,성산읍,47414,1684811767
2019-01,송산동,17500,804941512
2019-01,아라동,219551,6747410387
2019-01,안덕면,43912,1624095360
2019-01,알수없음,6302,232779056
2019-01,애월읍,154798,5274125667
2019-01,연동,321511,10205112748
2019-01,영천동,25058,864577193
2019-01,예래동,16077,689856470
2019-01,오라동,103540,3299155189
2019-01,외도동,157598,4676784783
2019-01,용담1동,44956,1458120785
2019-01,용담2동,99727,3277390280
2019-01,우도면,3475,148591515
2019-01,이도1동,57972,1796607333
2019-01,이도2동,354651,11018180495
2019-01,이호동,24390,857085088
2019-01,일도1동,21759,774826066
2019-01,일도2동,220266,6826539447
2019-01,정방동,10961,441842752
2019-01,조천읍,108564,3518715623
2019-01,중문동,52996,2058451426
2019-01,중앙동,16760,776013622
2019-01,천지동,18406,770050411
2019-01,추자면,3010,125030064
2019-01,표선면,36834,1436944560
2019-01,한경면,25354,862819565
2019-01,한림읍,73624,2804483480
2019-01,화북동,155971,4652310806
2019-01,효돈동,23238,962298262
2019-02,건입동,58294,1997876023
2019-02,구좌읍,39205,1450601484
2019-02,남원읍,47182,1866199461
2019-02,노형동,376562,11763823698
2019-02,대륜동,64362,2260935564
2019-02,대정읍,87715,3192896574
2019-02,대천동,68232,2290288648
2019-02,도두동,16296,623191862
2019-02,동홍동,116722,4191504387
2019-02,봉개동,18044,572114543
2019-02,삼도1동,84882,2679780450
2019-02,삼도2동,50014,1648125675
2019-02,삼양동,135905,4120796524
2019-02,서홍동,52729,2067503145
2019-02,성산읍,40601,1578045005
2019-02,송산동,14839,617829229
2019-02,아라동,191471,5979118215
2019-02,안덕면,38265,1393031676
2019-02,알수없음,6175,205395781
2019-02,애월읍,138294,4867115425
2019-02,연동,289260,9404269007
2019-02,영천동,21583,792388055
2019-02,예래동,15975,651834055
2019-02,오라동,89575,2880406139
2019-02,외도동,135065,4109487374
2019-02,용담1동,39713,1323730212
2019-02,용담2동,89463,3046573731
2019-02,우도면,2756,120366899
2019-02,이도1동,53270,1661168919
2019-02,이도2동,318357,10161324642
2019-02,이호동,20073,701150500
2019-02,일도1동,19080,724867188
2019-02,일도2동,196570,6223425493
2019-02,정방동,10175,406019999
2019-02,조천읍,97120,3185656670
2019-02,중문동,45452,1704834069
2019-02,중앙동,15275,715441583
2019-02,천지동,15288,620169579
2019-02,추자면,2725,92828001
2019-02,표선면,31444,1135104471
2019-02,한경면,21198,788416051
2019-02,한림읍,67026,2512632073
2019-02,화북동,139512,4239393627
2019-02,효돈동,20219,785579212
2019-03,건입동,65265,2089870648
2019-03,구좌읍,46432,1536161251
2019-03,남원읍,54293,2131933329
2019-03,노형동,434049,12848770059
2019-03,대륜동,74490,2543133617
2019-03,대정읍,102439,3460173537
2019-03,대천동,79874,2529833889
2019-03,도두동,19643,693566098
2019-03,동홍동,132471,4560474874
2019-03,봉개동,21542,672602540
2019-03,삼도1동,96560,2898964824
2019-03,삼도2동,56171,1749910388
2019-03,삼양동,157542,4656473794
2019-03,서홍동,59483,2286188925
2019-03,성산읍,47265,1758485430
2019-03,송산동,17336,678069335
2019-03,아라동,229971,6756427555
2019-03,안덕면,45775,1521419976
2019-03,알수없음,5702,185669893
2019-03,애월읍,163658,5383866661
2019-03,연동,336941,10251534703
2019-03,영천동,26336,917801063
2019-03,예래동,17885,678194352
2019-03,오라동,107281,3214124701
2019-03,외도동,157806,4487514656
2019-03,용담1동,45322,1402820298
2019-03,용담2동,100833,3256034695
2019-03,우도면,2954,100413601
2019-03,이도1동,60711,1783555288
2019-03,이도2동,362186,10691182979
2019-03,이호동,25227,869469203
2019-03,일도1동,23077,838855312
2019-03,일도2동,221789,6692491744
2019-03,정방동,10682,452124858
2019-03,조천읍,115519,3583681175
2019-03,중문동,53466,2120891716
2019-03,중앙동,16726,714689404
2019-03,천지동,17616,694525918
2019-03,추자면,2961,115029061
2019-03,표선면,36023,1222812006
2019-03,한경면,26307,917410309
2019-03,한림읍,78419,2889505910
2019-03,화북동,162141,4661941610
2019-03,효돈동,22557,861904740
2019-04,건입동,64785,2183547847
2019-04,구좌읍,47363,1641242464
2019-04,남원읍,54625,2026022199
2019-04,노형동,431708,12326720956
2019-04,대륜동,75080,2482492306
2019-04,대정읍,99838,3292926405
2019-04,대천동,80394,2536915785
2019-04,도두동,17896,701689435
2019-04,동홍동,131363,4375225966
2019-04,봉개동,20599,603956771
2019-04,삼도1동,98298,2924103742
2019-04,삼도2동,56027,1740863855
2019-04,삼양동,155176,4478663262
2019-04,서홍동,58972,2205526061
2019-04,성산읍,49102,1676234305
2019-04,송산동,17204,644231937
2019-04,아라동,226999,6313253460
2019-04,안덕면,43852,1416060878
2019-04,알수없음,5605,195979797
2019-04,애월읍,166501,5337807020
2019-04,연동,330078,10061467895
2019-04,영천동,26087,920887896
2019-04,예래동,18703,692558742
2019-04,오라동,104479,3205691826
2019-04,외도동,153884,4376807625
2019-04,용담1동,44579,1379396127
2019-04,용담2동,99949,3169591830
2019-04,우도면,3010,150574139
2019-04,이도1동,59497,1715449928
2019-04,이도2동,361710,10340153744
2019-04,이호동,25217,813396840
2019-04,일도1동,23164,882249324
2019-04,일도2동,219483,6447053094
2019-04,정방동,10951,458266285
2019-04,조천읍,114601,3610518116
2019-04,중문동,53699,2093055800
2019-04,중앙동,17239,765223753
2019-04,천지동,17501,636686250
2019-04,추자면,3119,116236447
2019-04,표선면,37339,1366318265
2019-04,한경면,27276,906148592
2019-04,한림읍,79009,2806134099
2019-04,화북동,162613,4572113355
2019-04,효돈동,21543,800477227
2019-05,건입동,68214,2272508145
2019-05,구좌읍,50068,1702993696
2019-05,남원읍,57488,2234584377
2019-05,노형동,460012,13422107355
2019-05,대륜동,81866,2801236054
2019-05,대정읍,109658,3707440493
2019-05,대천동,85716,2722952172
2019-05,도두동,20134,699016379
2019-05,동홍동,141030,4772685859
2019-05,봉개동,22027,720356998
2019-05,삼도1동,102651,3134572417
2019-05,삼도2동,59966,1819509508
2019-05,삼양동,163712,4780341526
2019-05,서홍동,65339,2595389817
2019-05,성산읍,51360,1826511996
2019-05,송산동,18302,781082905
2019-05,아라동,238235,6865621325
2019-05,안덕면,47970,1558966815
2019-05,알수없음,6725,234908907
2019-05,애월읍,172606,5601451156
2019-05,연동,349523,10601915916
2019-05,영천동,27001,982029244
2019-05,예래동,20253,762430772
2019-05,오라동,109570,3413216252
2019-05,외도동,162091,4761834657
2019-05,용담1동,46027,1456730241
2019-05,용담2동,104642,3429488421
2019-05,우도면,3640,140995056
2019-05,이도1동,61510,1883388661
2019-05,이도2동,388348,11489631648
2019-05,이호동,26978,876666970
2019-05,일도1동,23451,887078742
2019-05,일도2동,230961,6936931065
2019-05,정방동,11580,454649544
2019-05,조천읍,121828,3837965565
2019-05,중문동,57422,2127888606
2019-05,중앙동,17036,717010960
2019-05,천지동,18949,698808411
2019-05,추자면,2870,119790256
2019-05,표선면,38344,1425509716
2019-05,한경면,27501,982591204
2019-05,한림읍,83037,2945689324
2019-05,화북동,172711,5067005657
2019-05,효돈동,25867,942513177
2019-06,건입동,64625,2047932639
2019-06,구좌읍,48869,1605153460
2019-06,남원읍,56980,2129431731
2019-06,노형동,451361,13054777800
2019-06,대륜동,79440,2615888967
2019-06,대정읍,98463,3185381039
2019-06,대천동,84111,2556911312
2019-06,도두동,18746,769790947
2019-06,동홍동,138496,4495081349
2019-06,봉개동,23182,689008884
2019-06,삼도1동,99785,3020719709
2019-06,삼도2동,58344,1844605897
2019-06,삼양동,164241,4580935935
2019-06,서홍동,63640,2338505670
2019-06,성산읍,48972,1701775815
2019-06,송산동,18405,739299657
2019-06,아라동,233353,6542657528
2019-06,안덕면,49191,1603796531
2019-06,알수없음,6220,206107416
2019-06,애월읍,166383,5313955499
2019-06,연동,344267,10313149235
2019-06,영천동,27100,927806743
2019-06,예래동,18699,699665060
2019-06,오라동,110380,3340420529
2019-06,외도동,157083,4450857543
2019-06,용담1동,44580,1379504731
2019-06,용담2동,105203,3258004406
2019-06,우도면,3050,124824463
2019-06,이도1동,60311,1732951818
2019-06,이도2동,379036,11049929949
2019-06,이호동,25570,805854652
2019-06,일도1동,22650,794120116
2019-06,일도2동,226755,6720924531
2019-06,정방동,11335,464997793
2019-06,조천읍,118904,3740177429
2019-06,중문동,58460,2170506498
2019-06,중앙동,17146,671698663
2019-06,천지동,18333,707176389
2019-06,추자면,3160,131563859
2019-06,표선면,38057,1278585529
2019-06,한경면,28082,984016449
2019-06,한림읍,80757,2834753054
2019-06,화북동,167427,4660315740
2019-06,효돈동,24630,870866803
2019-07,건입동,69440,2246423321
2019-07,구좌읍,53339,1753573681
2019-07,남원읍,59755,2101813304
2019-07,노형동,473087,13605562201
2019-07,대륜동,85603,2810880367
2019-07,대정읍,92058,2967428445
2019-07,대천동,86550,2663082053
2019-07,도두동,20905,710659730
2019-07,동홍동,148753,4733200141
2019-07,봉개동,24294,735078896
2019-07,삼도1동,103051,2959157519
2019-07,삼도2동,60734,1869361125
2019-07,삼양동,170716,4722322472
2019-07,서홍동,68271,2406304497
2019-07,성산읍,52928,1834273302
2019-07,송산동,19174,845370626
