base_date,emd_nm,resident_resid_reg_pop,resident_foreign_pop,resident_total_pop
2018-07,용담1동,7616,87,7703
2018-07,용담2동,15561,245,15806
2018-07,우도면,1888,35,1923
2018-07,이도1동,7875,125,8000
2018-07,이도2동,49828,654,50482
2018-07,이호동,4395,144,4539
2018-07,일도1동,2958,115,3073
2018-07,일도2동,34684,289,34973
2018-07,정방동,2395,109,2504
2018-07,조천읍,23888,592,24480
2018-07,중문동,11075,294,11369
2018-07,중앙동,3941,105,4046
2018-07,천지동,3556,109,3665
2018-07,추자면,1821,340,2161
2018-07,표선면,12378,422,12800
2018-07,한경면,9087,352,9439
2018-07,한림읍,21126,3663,24789
2018-07,화북동,25073,386,25459
2018-07,효돈동,5334,83,5417
2018-08,건입동,9756,264,10020
2018-08,구좌읍,15677,608,16285
2018-08,남원읍,19173,704,19877
2018-08,노형동,53655,2040,55695
2018-08,대륜동,13868,190,14058
2018-08,대정읍,21459,1728,23187
2018-08,대천동,13524,243,13767
2018-08,도두동,3079,131,3210
2018-08,동홍동,22797,1256,24053
2018-08,봉개동,4016,85,4101
2018-08,삼도1동,14279,222,14501
2018-08,삼도2동,8510,273,8783
2018-08,삼양동,24561,247,24808
2018-08,서홍동,10622,122,10744
2018-08,성산읍,15495,1700,17195
2018-08,송산동,4408,565,4973
2018-08,아라동,32763,1048,33811
2018-08,안덕면,11803,670,12473
2018-08,애월읍,35045,1014,36059
2018-08,연동,41510,1731,43241
2018-08,영천동,5242,189,5431
2018-08,예래동,4064,238,4302
2018-08,오라동,14361,226,14587
2018-08,외도동,21367,288,21655
2018-08,용담1동,7595,86,7681
2018-08,용담2동,15542,241,15783
2018-08,우도면,1879,36,1915
2018-08,이도1동,7883,126,8009
2018-08,이도2동,49817,647,50464
2018-08,이호동,4444,146,4590
2018-08,일도1동,2959,113,3072
2018-08,일도2동,34697,302,34999
2018-08,정방동,2378,110,2488
2018-08,조천읍,23926,603,24529
2018-08,중문동,11096,301,11397
2018-08,중앙동,3913,107,4020
2018-08,천지동,3566,110,3676
2018-08,추자면,1823,347,2170
2018-08,표선면,12361,425,12786
2018-08,한경면,9064,352,9416
2018-08,한림읍,21190,3695,24885
2018-08,화북동,25010,394,25404
2018-08,효돈동,5340,84,5424
2018-09,건입동,9729,263,9992
2018-09,구좌읍,15685,611,16296
2018-09,남원읍,19150,724,19874
2018-09,노형동,53719,2040,55759
2018-09,대륜동,13903,198,14101
2018-09,대정읍,21444,1713,23157
2018-09,대천동,13563,248,13811
2018-09,도두동,3079,134,3213
2018-09,동홍동,22835,1275,24110
2018-09,봉개동,4041,86,4127
2018-09,삼도1동,14299,211,14510
2018-09,삼도2동,8484,262,8746
2018-09,삼양동,24622,248,24870
2018-09,서홍동,10628,127,10755
2018-09,성산읍,15519,1731,17250
2018-09,송산동,4404,599,5003
2018-09,아라동,32886,1217,34103
2018-09,안덕면,11871,693,12564
2018-09,애월읍,35140,1042,36182
2018-09,연동,41493,1726,43219
2018-09,영천동,5243,188,5431
2018-09,예래동,4083,250,4333
2018-09,오라동,14423,225,14648
2018-09,외도동,21415,288,21703
2018-09,용담1동,7582,81,7663
2018-09,용담2동,15525,247,15772
2018-09,우도면,1880,38,1918
2018-09,이도1동,7872,128,8000
2018-09,이도2동,49784,671,50455
2018-09,이호동,4485,153,4638
2018-09,일도1동,2938,108,3046
2018-09,일도2동,34662,313,34975
2018-09,정방동,2356,111,2467
2018-09,조천읍,23997,597,24594
2018-09,중문동,11138,308,11446
2018-09,중앙동,3924,108,4032
2018-09,천지동,3561,119,3680
2018-09,추자면,1816,351,2167
2018-09,표선면,12377,422,12799
2018-09,한경면,9051,365,9416
2018-09,한림읍,21197,3716,24913
2018-09,화북동,25013,397,25410
2018-09,효돈동,5335,82,5417
2018-10,건입동,9702,251,9953
2018-10,구좌읍,15669,617,16286
2018-10,남원읍,19099,732,19831
2018-10,노형동,53835,2173,56008
2018-10,대륜동,13929,198,14127
2018-10,대정읍,21413,1718,23131
2018-10,대천동,13626,251,13877
2018-10,도두동,3101,152,3253
2018-10,동홍동,22853,1271,24124
2018-10,봉개동,4060,86,4146
2018-10,삼도1동,14277,191,14468
2018-10,삼도2동,8448,267,8715
2018-10,삼양동,24773,257,25030
2018-10,서홍동,10625,126,10751
2018-10,성산읍,15559,1735,17294
2018-10,송산동,4412,600,5012
2018-10,아라동,32981,1230,34211
2018-10,안덕면,11871,693,12564
2018-10,애월읍,35300,1094,36394
2018-10,연동,41448,1751,43199
2018-10,영천동,5255,193,5448
2018-10,예래동,4092,276,4368
2018-10,오라동,14515,234,14749
2018-10,외도동,21440,289,21729
2018-10,용담1동,7576,85,7661
2018-10,용담2동,15527,247,15774
2018-10,우도면,1870,40,1910
2018-10,이도1동,7862,132,7994
2018-10,이도2동,49732,684,50416
2018-10,이호동,4464,156,4620
2018-10,일도1동,2925,112,3037
2018-10,일도2동,34653,310,34963
2018-10,정방동,2347,109,2456
2018-10,조천읍,24026,599,24625
2018-10,중문동,11125,312,11437
2018-10,중앙동,3919,105,4024
2018-10,천지동,3570,112,3682
2018-10,추자면,1810,342,2152
2018-10,표선면,12421,435,12856
2018-10,한경면,9074,363,9437
2018-10,한림읍,21235,3698,24933
2018-10,화북동,24965,401,25366
2018-10,효돈동,5302,84,5386
2018-11,건입동,9658,248,9906
2018-11,구좌읍,15654,620,16274
2018-11,남원읍,19094,728,19822
2018-11,노형동,53902,2197,56099
2018-11,대륜동,13949,199,14148
2018-11,대정읍,21392,1727,23119
2018-11,대천동,13616,256,13872
2018-11,도두동,3105,160,3265
2018-11,동홍동,22882,1282,24164
2018-11,봉개동,4278,87,4365
2018-11,삼도1동,14260,160,14420
2018-11,삼도2동,8407,270,8677
2018-11,삼양동,24903,254,25157
2018-11,서홍동,10593,128,10721
2018-11,성산읍,15519,1732,17251
2018-11,송산동,4418,608,5026
2018-11,아라동,33087,1238,34325
2018-11,안덕면,11904,660,12564
2018-11,애월읍,35402,1094,36496
2018-11,연동,41443,1777,43220
2018-11,영천동,5264,190,5454
2018-11,예래동,4118,279,4397
2018-11,오라동,14595,226,14821
2018-11,외도동,21438,291,21729
2018-11,용담1동,7562,83,7645
2018-11,용담2동,15449,248,15697
2018-11,우도면,1867,40,1907
2018-11,이도1동,7865,137,8002
2018-11,이도2동,49672,660,50332
2018-11,이호동,4469,160,4629
2018-11,일도1동,2906,113,3019
2018-11,일도2동,34586,299,34885
2018-11,정방동,2332,112,2444
2018-11,조천읍,24088,594,24682
2018-11,중문동,11134,322,11456
2018-11,중앙동,3901,106,4007
2018-11,천지동,3564,115,3679
2018-11,추자면,1799,344,2143
2018-11,표선면,12389,447,12836
2018-11,한경면,9068,360,9428
2018-11,한림읍,21283,3700,24983
2018-11,화북동,24960,409,25369
2018-11,효돈동,5289,83,5372
2018-12,건입동,9610,247,9857
2018-12,구좌읍,15670,613,16283
2018-12,남원읍,19038,740,19778
2018-12,노형동,54002,2221,56223
2018-12,대륜동,13958,198,14156
2018-12,대정읍,21364,1730,23094
2018-12,대천동,13675,255,13930
2018-12,도두동,3101,156,3257
2018-12,동홍동,22885,1278,24163
2018-12,봉개동,4842,94,4936
2018-12,삼도1동,14190,155,14345
2018-12,삼도2동,8397,265,8662
2018-12,삼양동,24897,256,25153
2018-12,서홍동,10570,127,10697
2018-12,성산읍,15450,1730,17180
2018-12,송산동,4417,610,5027
2018-12,아라동,33099,1222,34321
2018-12,안덕면,11867,670,12537
2018-12,애월읍,35451,1099,36550
2018-12,연동,41397,1820,43217
2018-12,영천동,5292,186,5478
2018-12,예래동,4136,278,4414
2018-12,오라동,14673,233,14906
2018-12,외도동,21445,296,21741
2018-12,용담1동,7527,83,7610
2018-12,용담2동,15426,247,15673
2018-12,우도면,1852,40,1892
2018-12,이도1동,7851,138,7989
2018-12,이도2동,49456,681,50137
2018-12,이호동,4495,159,4654
2018-12,일도1동,2884,109,2993
2018-12,일도2동,34388,296,34684
2018-12,정방동,2333,111,2444
2018-12,조천읍,24106,612,24718
2018-12,중문동,11159,323,11482
2018-12,중앙동,3879,105,3984
2018-12,천지동,3570,118,3688
2018-12,추자면,1804,345,2149
2018-12,표선면,12374,450,12824
2018-12,한경면,9089,358,9447
2018-12,한림읍,21309,3694,25003
2018-12,화북동,24985,406,25391
2018-12,효돈동,5278,87,5365
2019-01,건입동,9506,254,9760
2019-01,구좌읍,15574,610,16184
2019-01,남원읍,19032,761,19793
2019-01,노형동,53961,2252,56213
2019-01,대륜동,14143,210,14353
2019-01,대정읍,21337,1746,23083
2019-01,대천동,13659,257,13916
2019-01,도두동,3076,155,3231
2019-01,동홍동,22884,1286,24170
2019-01,봉개동,4997,96,5093
2019-01,삼도1동,14119,155,14274
2019-01,삼도2동,8394,282,8676
2019-01,삼양동,25027,255,25282
2019-01,서홍동,10523,124,10647
2019-01,성산읍,15432,1730,17162
2019-01,송산동,4383,596,4979
2019-01,아라동,33347,1207,34554
2019-01,안덕면,11858,665,12523
2019-01,애월읍,35478,1168,36646
2019-01,연동,41418,1899,43317
2019-01,영천동,5295,182,5477
2019-01,예래동,4139,282,4421
2019-01,오라동,14780,240,15020
2019-01,외도동,21443,299,21742
2019-01,용담1동,7479,84,7563
2019-01,용담2동,15360,260,15620
2019-01,우도면,1855,39,1894
2019-01,이도1동,7824,141,7965
2019-01,이도2동,49649,679,50328
2019-01,이호동,4524,159,4683
2019-01,일도1동,2870,104,2974
2019-01,일도2동,34190,308,34498
2019-01,정방동,2346,112,2458
2019-01,조천읍,24124,620,24744
2019-01,중문동,11146,324,11470
2019-01,중앙동,3847,104,3951
2019-01,천지동,3550,119,3669
2019-01,추자면,1789,335,2124
2019-01,표선면,12334,443,12777
2019-01,한경면,9086,360,9446
2019-01,한림읍,21337,3691,25028
2019-01,화북동,24943,405,25348
2019-01,효돈동,5279,86,5365
2019-02,건입동,9457,256,9713
2019-02,구좌읍,15633,606,16239
2019-02,남원읍,19020,762,19782
2019-02,노형동,53859,2247,56106
2019-02,대륜동,14266,214,14480
2019-02,대정읍,21349,1735,23084
2019-02,대천동,13612,252,13864
2019-02,도두동,3089,151,3240
2019-02,동홍동,22876,1289,24165
2019-02,봉개동,5094,97,5191
2019-02,삼도1동,14036,154,14190
2019-02,삼도2동,8345,273,8618
2019-02,삼양동,25043,252,25295
2019-02,서홍동,10500,116,10616
2019-02,성산읍,15464,1729,17193
2019-02,송산동,4369,597,4966
2019-02,아라동,33493,1174,34667
2019-02,안덕면,11835,674,12509
2019-02,애월읍,35590,1154,36744
2019-02,연동,41362,1933,43295
2019-02,영천동,5320,185,5505
2019-02,예래동,4126,275,4401
2019-02,오라동,14819,245,15064
2019-02,외도동,21457,298,21755
2019-02,용담1동,7427,85,7512
2019-02,용담2동,15345,261,15606
2019-02,우도면,1861,37,1898
2019-02,이도1동,7821,139,7960
2019-02,이도2동,49716,681,50397
2019-02,이호동,4519,160,4679
2019-02,일도1동,2873,97,2970
2019-02,일도2동,34120,302,34422
2019-02,정방동,2321,120,2441
2019-02,조천읍,24228,614,24842
2019-02,중문동,11127,326,11453
2019-02,중앙동,3848,101,3949
2019-02,천지동,3569,118,3687
2019-02,추자면,1764,333,2097
2019-02,표선면,12322,444,12766
2019-02,한경면,9093,362,9455
2019-02,한림읍,21356,3670,25026
2019-02,화북동,24906,409,25315
2019-02,효돈동,5292,85,5377
2019-03,건입동,9456,255,9711
2019-03,구좌읍,15601,624,16225
2019-03,남원읍,19035,762,19797
2019-03,노형동,53818,2287,56105
2019-03,대륜동,14331,209,14540
2019-03,대정읍,21388,1727,23115
2019-03,대천동,13652,239,13891
2019-03,도두동,3106,167,3273
2019-03,동홍동,22842,1296,24138
2019-03,봉개동,5159,98,5257
2019-03,삼도1동,14018,155,14173
2019-03,삼도2동,8319,267,8586
2019-03,삼양동,25108,254,25362
2019-03,서홍동,10474,114,10588
2019-03,성산읍,15495,1706,17201
2019-03,송산동,4335,585,4920
2019-03,아라동,33566,1306,34872
2019-03,안덕면,11824,664,12488
2019-03,애월읍,35734,1115,36849
2019-03,연동,41428,2004,43432
2019-03,영천동,5331,182,5513
2019-03,예래동,4122,284,4406
2019-03,오라동,14902,237,15139
2019-03,외도동,21474,304,21778
2019-03,용담1동,7414,86,7500
2019-03,용담2동,15303,262,15565
2019-03,우도면,1855,37,1892
2019-03,이도1동,7761,138,7899
2019-03,이도2동,49769,687,50456
2019-03,이호동,4537,161,4698
2019-03,일도1동,2870,98,2968
2019-03,일도2동,34074,294,34368
2019-03,정방동,2328,115,2443
2019-03,조천읍,24312,608,24920
2019-03,중문동,11141,332,11473
2019-03,중앙동,3843,101,3944
2019-03,천지동,3589,117,3706
2019-03,추자면,1756,325,2081
2019-03,표선면,12328,441,12769
2019-03,한경면,9122,362,9484
2019-03,한림읍,21376,3649,25025
2019-03,화북동,24918,422,25340
2019-03,효돈동,5306,84,5390
2019-04,건입동,9463,254,9717
2019-04,구좌읍,15627,662,16289
2019-04,남원읍,19086,770,19856
2019-04,노형동,53772,2504,56276
2019-04,대륜동,14347,209,14556
2019-04,대정읍,21425,1730,23155
2019-04,대천동,13649,234,13883
2019-04,도두동,3113,166,3279
2019-04,동홍동,22827,1294,24121
2019-04,봉개동,5181,102,5283
2019-04,삼도1동,14009,151,14160
2019-04,삼도2동,8264,281,8545
2019-04,삼양동,25160,255,25415
2019-04,서홍동,10471,119,10590
2019-04,성산읍,15504,1724,17228
2019-04,송산동,4334,581,4915
2019-04,아라동,33687,1276,34963
2019-04,안덕면,11839,692,12531
2019-04,애월읍,35796,1106,36902
2019-04,연동,41459,1978,43437
2019-04,영천동,5332,181,5513
2019-04,예래동,4099,283,4382
2019-04,오라동,15042,240,15282
2019-04,외도동,21495,299,21794
2019-04,용담1동,7396,92,7488
2019-04,용담2동,15278,265,15543
2019-04,우도면,1867,38,1905
2019-04,이도1동,7716,139,7855
2019-04,이도2동,49851,675,50526
2019-04,이호동,4551,164,4715
2019-04,일도1동,2849,96,2945
2019-04,일도2동,34032,308,34340
2019-04,정방동,2321,115,2436
2019-04,조천읍,24346,603,24949
2019-04,중문동,11166,333,11499
2019-04,중앙동,3845,102,3947
2019-04,천지동,3621,117,3738
2019-04,추자면,1759,317,2076
2019-04,표선면,12347,434,12781
2019-04,한경면,9134,367,9501
2019-04,한림읍,21411,3650,25061
2019-04,화북동,24885,425,25310
2019-04,효돈동,5292,78,5370
2019-05,건입동,9419,254,9673
2019-05,구좌읍,15641,665,16306
2019-05,남원읍,19126,770,19896
2019-05,노형동,53805,2514,56319
2019-05,대륜동,14364,210,14574
2019-05,대정읍,21415,1721,23136
2019-05,대천동,13659,227,13886
2019-05,도두동,3117,162,3279
2019-05,동홍동,22865,1286,24151
2019-05,봉개동,5204,102,5306
2019-05,삼도1동,13981,146,14127
2019-05,삼도2동,8254,275,8529
2019-05,삼양동,25210,249,25459
2019-05,서홍동,10478,127,10605
2019-05,성산읍,15484,1753,17237
2019-05,송산동,4321,575,4896
2019-05,아라동,33799,1260,35059
2019-05,안덕면,11867,700,12567
2019-05,애월읍,35918,1101,37019
2019-05,연동,41503,1977,43480
2019-05,영천동,5342,184,5526
2019-05,예래동,4084,280,4364
2019-05,오라동,15142,243,15385
2019-05,외도동,21528,298,21826
2019-05,용담1동,7360,88,7448
2019-05,용담2동,15277,266,15543
2019-05,우도면,1876,36,1912
2019-05,이도1동,7703,137,7840
2019-05,이도2동,49945,667,50612
2019-05,이호동,4569,168,4737
2019-05,일도1동,2832,96,2928
2019-05,일도2동,34002,310,34312
2019-05,정방동,2330,113,2443
2019-05,조천읍,24378,597,24975
2019-05,중문동,11220,335,11555
2019-05,중앙동,3811,105,3916
2019-05,천지동,3615,115,3730
2019-05,추자면,1750,318,2068
2019-05,표선면,12365,432,12797
2019-05,한경면,9101,360,9461
2019-05,한림읍,21441,3668,25109
2019-05,화북동,24942,426,25368
2019-05,효돈동,5285,82,5367
2019-06,건입동,9417,259,9676
2019-06,구좌읍,15650,661,16311
2019-06,남원읍,19125,790,19915
2019-06,노형동,53800,2510,56310
2019-06,대륜동,14337,215,14552
2019-06,대정읍,21334,1630,22964
2019-06,대천동,13722,228,13950
2019-06,도두동,3126,172,3298
2019-06,동홍동,22892,1293,24185
2019-06,봉개동,5225,97,5322
2019-06,삼도1동,13947,149,14096
2019-06,삼도2동,8239,271,8510
2019-06,삼양동,25332,248,25580
2019-06,서홍동,10500,124,10624
2019-06,성산읍,15499,1767,17266
2019-06,송산동,4312,589,4901
2019-06,아라동,33888,1245,35133
2019-06,안덕면,11888,725,12613
2019-06,애월읍,36046,1070,37116
2019-06,연동,41479,2003,43482
2019-06,영천동,5376,189,5565
2019-06,예래동,4066,276,4342
2019-06,오라동,15191,245,15436
2019-06,외도동,21571,292,21863
2019-06,용담1동,7338,85,7423
2019-06,용담2동,15260,263,15523
2019-06,우도면,1869,37,1906
2019-06,이도1동,7694,138,7832
2019-06,이도2동,49982,673,50655
2019-06,이호동,4556,168,4724
2019-06,일도1동,2817,96,2913
2019-06,일도2동,33982,301,34283
2019-06,정방동,2334,114,2448
2019-06,조천읍,24417,593,25010
2019-06,중문동,11244,339,11583
2019-06,중앙동,3805,100,3905
2019-06,천지동,3600,121,3721
2019-06,추자면,1741,328,2069
2019-06,표선면,12378,430,12808
2019-06,한경면,9116,360,9476
2019-06,한림읍,21442,3675,25117
2019-06,화북동,24947,422,25369
2019-06,효돈동,5287,83,5370
2019-07,건입동,9408,260,9668
2019-07,구좌읍,15642,669,16311
2019-07,남원읍,19098,800,19898
2019-07,노형동,53830,2438,56268
2019-07,대륜동,14356,213,14569
2019-07,대정읍,21332,1612,22944
2019-07,대천동,13724,232,13956
2019-07,도두동,3120,157,3277
2019-07,동홍동,22884,1275,24159
