base_date,emd_nm,long_resd_pop_cnt,long_work_pop_cnt,long_visit_pop_cnt,long_nationality_AUS,long_nationality_BGD,long_nationality_CAN,long_nationality_CHN,long_nationality_DEU,long_nationality_EGY,long_nationality_ETC,long_nationality_FRA,long_nationality_GBR,long_nationality_IDN,long_nationality_IND,long_nationality_JPN,long_nationality_KAZ,long_nationality_KGZ,long_nationality_KHM,long_nationality_LKA,long_nationality_MGL,long_nationality_MMR,long_nationality_MYS,long_nationality_NGR,long_nationality_NPL,long_nationality_NZL,long_nationality_PAK,long_nationality_PHL,long_nationality_RUS,long_nationality_THA,long_nationality_TWN,long_nationality_UKR,long_nationality_USA,long_nationality_UZB,long_nationality_VNM
2018-02,봉개동,39827.02550000001,14364.9809,63261.22539999999,8,5,45,1237,1,3,167,3,9,1187,34,85,4,3,389,362,55,367,2,1,658,12,168,109,81,261,8,43,847,111,1188
2018-02,삼도1동,82413.70120000002,6521.5876,36658.6095,37,1,218,1169,1,0,144,0,33,408,21,80,4,75,424,67,109,5,0,0,400,1,0,32,18,506,159,0,615,671,773
2018-02,삼도2동,77297.97810000002,2544.9944000000005,56527.6332,23,17,90,1189,0,0,608,5,27,612,8,295,3,9,41,75,370,105,3,2,158,4,30,94,575,134,642,12,677,35,439
2018-02,삼양동,73983.89730000001,6084.531700000002,30483.537500000002,4,39,468,1296,1,1,796,0,7,231,128,197,1,5,487,709,511,61,1,0,850,5,43,540,28,277,6,0,614,32,712
2018-02,서홍동,52380.64589999998,5145.638599999999,54761.2108,75,7,287,1163,3,0,284,52,6,626,23,49,15,0,250,44,19,65,6,0,9,36,4,622,12,2,1,0,650,8,1089
2018-02,성산읍,287546.75340000005,19670.7863,162657.76179999998,25,71,714,1344,5,5,825,48,100,1344,709,87,639,11,719,1328,253,631,143,0,710,46,31,738,124,632,59,600,1177,486,1302
2018-02,송산동,85066.01849999998,10807.554100000001,107192.7524,475,22,150,1255,3,1,670,72,5,1298,69,97,196,16,23,659,7,80,3,0,5,1,17,62,10,3,14,0,732,68,1333
2018-02,아라동,594328.4668999999,49858.02790000001,100229.6548,766,124,807,1344,3,1,1247,13,674,946,1340,756,84,56,689,1295,1016,1188,18,1,767,38,1215,949,611,659,272,2,1300,626,920
2018-02,안덕면,748232.4774999999,204223.80810000005,252473.56909999996,873,26,1104,1344,516,24,1184,792,1217,1079,690,720,384,13,475,632,746,291,1127,0,1254,866,11,717,426,1075,399,106,1304,473,1193
2018-02,애월읍,645109.6128,72165.6886,419148.3961999999,765,760,1201,1344,13,48,1297,32,385,1327,532,811,682,331,1214,944,833,1216,674,2,1342,665,92,973,995,1073,620,461,1344,611,1343
2018-02,연동,1686365.4652999998,271424.95050000004,373355.76120000007,162,2,1142,1344,3,14,1118,9,726,776,773,925,722,692,996,1075,1086,958,422,0,777,113,99,788,716,735,1099,8,1191,759,1128
2018-02,영천동,82081.74309999999,16563.184999999998,85520.47480000001,28,3,39,1338,9,1,519,17,43,1069,43,86,14,25,213,714,133,847,4,5,1057,13,42,682,71,4,58,0,697,671,1238
2018-02,예래동,117673.0204,18849.3989,115882.45719999999,546,2,847,1344,17,5,757,185,205,844,40,193,60,17,137,150,72,711,259,0,407,20,84,299,82,79,75,0,1283,79,985
2018-02,오라동,141790.86529999998,6829.9522,116240.8154,546,2,682,1276,15,0,836,7,134,858,74,154,2,90,53,132,560,50,15,0,755,14,69,123,166,176,936,3,465,141,1050
2018-02,외도동,59170.96790000002,3363.3613,31836.842,29,27,71,1256,0,0,224,1,21,219,1,397,16,412,221,5,403,5,10,0,25,5,0,773,7,369,15,3,382,116,503
2018-02,용담1동,23781.6447,702.0607,34731.005600000004,4,0,44,1070,5,0,116,0,20,158,30,49,1,0,20,19,129,12,3,0,258,2,10,62,34,83,113,0,170,7,604
2018-02,용담2동,92374.02759999999,17878.0564,143978.9604,198,9,497,1341,21,10,661,57,269,667,137,228,45,62,40,76,429,68,276,1,145,81,75,620,538,598,812,5,1006,175,899
2018-02,우도면,10743.976900000005,2547.6675,75611.2085,5,0,17,793,0,1,104,9,8,944,28,7,0,4,1,54,3,80,25,0,9,2,0,31,0,0,31,0,407,2,940
2018-02,이도1동,71649.94820000003,10169.330899999999,60986.4729,35,11,107,1156,2,1,313,8,356,369,48,398,9,2,280,224,1085,20,9,1,364,7,67,654,487,103,289,8,735,166,677
2018-02,이도2동,371143.4563000001,48094.3372,136761.7431,130,5,754,1344,7,17,909,131,726,484,387,690,29,20,702,409,855,689,9,0,1077,54,275,725,560,922,653,11,1109,666,882
2018-02,이호동,77200.2327,4220.720499999999,36299.834800000004,51,0,72,1236,0,0,84,0,15,229,25,28,27,5,583,24,62,37,14,0,659,6,21,498,22,475,194,1,605,385,580
2018-02,일도1동,35822.945400000004,10250.785899999999,47623.72779999999,11,2,43,992,2,0,664,1,11,970,16,67,12,2,61,326,79,13,6,1,270,5,7,223,34,81,492,0,444,271,436
2018-02,일도2동,174931.48500000002,11338.387100000004,74196.4184,5,7,381,1344,0,2,576,0,23,1130,6,640,3,3,725,407,287,191,3,0,469,10,33,828,520,259,28,0,728,284,1016
2018-02,정방동,121895.37200000003,17531.5102,116104.22679999997,46,44,217,1304,33,3,305,95,63,1034,43,93,41,4,212,68,83,20,31,13,17,12,5,629,26,5,49,0,573,151,1250
2018-02,조천읍,252053.3415,31547.5259,126591.68840000001,21,53,591,1344,1,0,871,5,107,1179,56,83,13,20,766,1332,112,983,24,0,633,359,15,954,53,577,100,0,932,228,1277
2018-02,중문동,176377.04109999997,17040.493199999997,166994.5217,538,1,1115,1341,21,1,1247,32,119,1242,30,499,37,14,292,697,29,134,302,0,851,43,28,757,656,73,30,0,882,81,1202
2018-02,중앙동,36170.4487,4128.7213,44197.9619,52,0,417,1108,7,0,166,34,30,253,2,61,5,0,61,80,15,6,38,0,17,4,0,376,11,10,39,0,721,67,454
2018-02,천지동,12798.469699999998,5638.5792,35918.1682,37,0,181,1001,34,4,258,436,12,543,25,21,4,0,180,27,15,8,66,0,9,4,2,568,18,0,2,0,193,26,711
2018-02,추자면,20489.812499999996,3818.5101999999997,63269.11300000001,7,17,9,1072,0,4,192,0,5,1176,100,4,13,25,61,323,3,316,0,4,152,0,193,357,1,75,28,0,673,57,1241
2018-02,표선면,219453.03329999998,18053.8198,96317.44600000001,251,13,1078,1256,2,39,805,43,29,1308,27,41,466,0,760,1237,435,1211,8,0,754,400,1249,795,6,569,38,0,966,464,925
2018-02,한경면,138169.31079999998,2899.1851,84792.60260000001,75,29,559,1261,1,3,797,4,607,1278,222,25,64,0,1253,919,173,194,11,0,1220,28,108,808,164,641,76,31,848,106,1178
2018-02,한림읍,936809.5898999999,106187.40969999999,321053.4022,119,59,751,1344,49,13,854,23,515,1344,240,857,154,344,1082,1343,1287,1149,87,0,1344,284,48,920,762,1178,97,68,1143,499,1344
2018-02,화북동,163071.39210000003,8625.511000000002,50525.701199999996,19,6,218,1327,0,0,641,0,84,887,118,677,5,548,421,786,91,223,4,4,1083,9,773,781,10,660,9,1,568,63,1283
2018-02,효돈동,22834.353799999997,7718.810199999999,13196.355099999997,55,0,16,996,0,0,69,0,1,258,0,1,2,0,227,697,4,564,1,0,66,1,7,1141,76,1,1,0,394,105,198
2018-03,건입동,94945.68139999999,17960.8853,108325.12900000002,32,27,183,1478,19,3,833,22,48,1448,98,709,65,8,256,629,166,668,28,0,436,49,142,924,296,38,758,1,711,142,1219
2018-03,구좌읍,235754.94389999993,28406.4917,133282.3631,37,1,830,1470,8,4,1108,92,91,1471,132,608,14,11,1152,1476,95,930,45,0,1486,21,41,922,695,710,112,3,1325,718,1477
2018-03,남원읍,188783.31620000003,44594.84920000001,146150.91669999994,108,26,285,1488,11,1,624,251,32,1483,92,60,54,2,1140,1467,115,992,5,0,1488,174,377,931,27,64,49,11,872,210,1446
2018-03,노형동,1270003.7154,101478.3685,472483.78050000005,824,53,1250,1488,33,8,1320,303,1420,1375,246,831,82,106,1437,539,1410,1017,239,0,1169,92,75,1167,1074,762,1081,7,1474,427,1487
2018-03,대륜동,116958.50800000002,17467.7036,115576.88949999998,495,2,1005,1480,510,4,995,105,685,1105,9,633,61,0,766,483,82,198,266,0,653,520,66,878,320,24,710,1,1316,236,1161
2018-03,대정읍,671104.1179000001,13523.920100000001,296153.6795000001,771,10,932,1488,36,402,1192,348,930,1481,825,100,7,7,1218,1392,753,793,444,0,506,1045,309,862,264,1420,781,0,1291,72,1449
2018-03,대천동,87629.97200000001,62.7164,68751.26650000001,190,2,445,1401,17,9,750,11,107,486,3,129,56,1,736,618,56,66,519,0,1036,105,3,395,496,22,150,0,972,18,1055
2018-03,도두동,70343.9082,0.0,49190.80759999999,736,8,216,1386,0,1,231,23,112,387,10,91,30,8,741,26,412,55,53,0,404,64,3,69,28,136,493,3,359,95,791
2018-03,동홍동,169628.76679999998,26315.9698,73935.69269999999,401,0,1028,1447,24,8,1167,6,418,946,35,741,209,1,746,98,41,177,12,0,274,12,112,830,9,20,8,4,1221,365,921
2018-03,봉개동,42145.0941,3614.3733000000007,80749.98860000001,24,0,102,1487,18,2,135,24,44,1277,7,86,17,0,226,376,121,514,19,0,1046,12,473,309,19,283,38,2,913,52,1293
2018-03,삼도1동,60407.331,12734.5391,42256.354999999996,24,6,581,1484,0,0,159,6,50,462,10,123,3,37,440,31,103,11,28,0,403,2,101,58,59,426,73,1,616,727,1022
2018-03,삼도2동,71936.13940000001,5538.3213,56907.7113,17,0,251,1312,0,3,540,34,62,721,27,347,35,14,39,23,387,37,18,0,249,10,36,182,573,188,783,0,435,47,525
2018-03,삼양동,59414.09579999999,6115.897399999998,42649.681300000004,1,4,126,1360,0,1,788,0,22,494,126,272,29,2,109,904,518,129,5,0,1363,7,27,628,9,175,33,0,359,28,875
2018-03,서홍동,56677.2968,1569.2363,100355.69500000002,116,7,386,1300,30,1,352,13,33,982,25,77,20,2,177,55,15,84,34,0,35,35,13,734,8,9,6,0,1102,10,1283
2018-03,성산읍,290306.94570000004,30829.127000000004,173529.67530000003,35,3,736,1488,63,4,622,109,120,1488,770,144,748,7,833,1452,126,884,108,0,753,74,125,849,25,744,126,729,1189,68,1488
2018-03,송산동,75757.1186,4449.5289999999995,67804.28569999998,483,23,254,1277,14,1,430,35,24,1264,53,10,244,11,0,701,4,13,31,0,7,1,6,64,11,3,2,0,879,25,1324
2018-03,아라동,890194.4477,56227.1093,257425.34939999995,965,756,1236,1488,9,3,1488,28,718,1430,1306,1428,33,44,789,1440,1455,1419,9,0,1039,40,1335,1146,747,738,433,0,1364,647,1272
2018-03,안덕면,826529.3922999998,189996.2261,265880.62489999994,860,41,1463,1488,455,37,1381,720,1086,1268,668,850,137,6,796,659,762,49,1249,0,846,1002,117,1044,659,1053,476,202,1488,677,1484
2018-03,애월읍,647165.7354,55936.2612,705893.5532999999,1196,850,1151,1488,22,18,1344,58,525,1481,487,899,756,448,1467,1156,993,1488,1261,0,1485,460,146,1166,779,1377,588,524,1475,585,1488
2018-03,연동,1730035.3719000001,229038.91749999998,515467.5155999999,385,11,1094,1488,2,5,1435,111,1231,1147,761,955,764,896,1195,773,1359,968,815,0,1086,88,171,849,1145,573,997,1,1385,1010,1394
2018-03,영천동,70817.67830000001,15570.007100000003,84727.92629999998,100,2,114,1488,3,27,109,57,59,902,13,89,8,0,167,877,61,928,6,0,1386,6,224,743,7,11,20,0,1065,799,1375
2018-03,예래동,109599.13239999999,13952.230400000002,112345.3708,911,0,1112,1488,80,297,1073,26,176,643,224,601,131,29,242,208,195,718,35,0,378,54,21,329,210,75,149,3,1343,51,832
2018-03,오라동,148569.56220000001,11779.555099999996,117147.75590000002,587,42,756,1487,2,2,872,58,88,893,84,219,13,55,51,64,525,54,66,0,742,3,117,137,313,177,769,1,645,144,1246
2018-03,외도동,48805.2265,3659.9093000000007,42113.756299999994,22,35,57,1424,1,1,265,9,14,429,0,450,38,488,189,6,99,17,9,0,12,4,25,865,24,440,24,20,632,261,752
2018-03,용담1동,21955.568400000007,4012.3304000000007,31534.366599999998,11,0,96,1201,1,0,107,8,44,176,10,41,6,1,17,12,85,8,8,0,254,21,52,63,25,22,141,3,280,13,801
2018-03,용담2동,78537.3851,22312.7347,120211.04,122,12,588,1469,65,9,753,65,271,689,163,378,86,102,71,60,498,65,127,0,124,115,95,708,604,890,811,4,1165,142,974
2018-03,우도면,7090.8418,4327.026,84980.14049999998,6,0,20,905,3,6,73,0,19,1153,39,19,4,0,0,134,2,14,0,0,53,3,0,4,22,6,11,0,97,0,1025
2018-03,이도1동,73893.85200000003,11159.3505,68268.49660000001,22,3,144,1475,1,0,436,17,314,449,47,484,18,5,302,94,1005,92,11,0,584,29,141,797,661,183,238,0,709,171,787
2018-03,이도2동,400629.5595999999,41795.967200000014,143698.4113,151,37,863,1488,10,14,1236,723,755,431,334,807,34,25,741,126,871,761,11,0,906,29,328,774,583,563,837,5,1389,775,1059
2018-03,이호동,81425.9264,7268.228700000001,40639.582599999994,55,6,123,1420,1,0,180,3,32,545,22,15,20,6,618,50,90,17,23,0,751,3,2,453,41,625,279,0,790,694,730
2018-03,일도1동,25151.106000000003,9084.2683,52189.7163,9,5,50,1161,0,0,717,4,8,1182,15,174,6,8,79,340,50,26,5,0,377,6,42,295,76,273,99,1,258,237,560
2018-03,일도2동,207901.67839999995,4294.2817,60408.6242,77,1,340,1357,3,0,774,8,91,1016,17,673,6,5,755,454,372,42,7,0,385,12,46,770,756,459,240,0,779,198,920
2018-03,정방동,78146.9335,20915.796299999995,99783.63440000001,90,0,171,1450,163,30,841,96,213,963,53,127,68,2,178,13,2,42,7,0,3,45,51,534,41,29,54,1,651,56,1260
2018-03,조천읍,257211.74690000003,30094.8461,162308.7743,48,4,897,1473,8,0,1233,21,220,1246,154,159,45,20,862,1474,194,1062,16,0,632,640,160,1431,56,739,76,15,976,322,1458
2018-03,중문동,186076.29600000006,12911.497899999998,140636.1417,568,0,837,1485,44,165,1098,11,124,1326,95,121,13,29,158,516,504,160,165,0,1123,41,6,697,512,57,54,2,1033,76,1223
2018-03,중앙동,25966.985000000004,6504.6085,44896.686499999996,80,0,514,1288,1,3,510,4,28,162,6,135,190,0,125,44,13,0,31,0,5,4,9,304,8,14,3,0,939,4,316
2018-03,천지동,9807.821999999998,1782.2414999999999,27106.791599999993,29,0,226,1103,16,0,162,8,56,392,2,66,57,1,80,2,4,22,5,0,5,4,3,401,21,2,2,2,254,33,674
2018-03,추자면,14876.882399999997,7514.881600000002,124132.84030000001,22,39,41,1096,2,24,177,3,5,1387,218,19,2,27,90,415,26,343,0,0,409,3,68,424,3,91,38,0,61,5,1447
2018-03,표선면,240120.38789999997,15025.2974,120380.01000000001,75,9,1215,1488,3,0,1119,102,10,1464,22,110,502,122,745,1371,669,831,20,0,982,651,1425,837,25,562,152,679,1002,782,1212
2018-03,한경면,135260.8184,4847.652399999999,126796.66890000002,45,2,624,1358,0,1,1005,0,646,1459,255,21,62,26,909,1255,128,58,2,0,965,73,71,829,136,618,21,1,710,29,1418
2018-03,한림읍,997788.8783,107030.72319999998,406607.5399,188,31,890,1488,55,2,1117,21,464,1488,162,776,243,475,1419,1205,802,1364,23,0,1259,218,9,1118,760,1232,72,16,1126,593,1488
2018-03,화북동,191123.50290000002,10622.766699999998,55371.427299999996,25,1,65,1271,0,0,1042,2,153,714,237,1319,3,678,471,764,114,466,2,0,1485,17,591,877,21,836,10,0,1254,20,943
2018-03,효돈동,20466.322299999996,7771.2102,16449.8589,40,0,39,936,2,0,43,10,9,139,0,9,2,0,339,638,3,692,2,0,22,6,16,1139,59,30,10,0,440,66,122
2018-04,건입동,86144.4468,14824.672099999998,146303.3325,17,6,230,1440,81,1,994,64,130,1410,97,703,22,11,233,856,172,492,36,10,424,5,89,1368,273,46,604,6,858,131,1425
2018-04,구좌읍,207884.72160000002,29864.92880000001,134449.35259999998,33,35,788,1440,65,2,972,145,45,1424,127,532,5,3,753,1398,195,851,30,0,1440,130,43,795,621,782,52,2,1290,579,1418
2018-04,남원읍,177859.51299999995,15111.871500000001,125783.29390000002,59,3,218,1431,21,1,547,211,48,1405,179,76,30,5,876,1340,261,1344,10,14,1433,764,261,911,12,97,46,37,1356,108,1375
2018-04,노형동,1358272.7735,102487.3179,409104.63849999994,741,46,1434,1440,51,1,1275,494,807,1162,191,779,405,120,1305,875,1434,1081,204,1,1322,70,59,1412,1131,548,969,11,1321,617,1440
2018-04,대륜동,115683.60829999999,13693.883899999999,113736.83350000001,567,14,869,1440,274,1,1072,593,749,1059,104,543,41,0,732,352,85,67,223,0,526,560,98,834,232,6,624,2,1194,42,1053
2018-04,대정읍,641751.7148000002,21929.4414,304760.955,775,51,910,1440,58,1,1124,348,1133,1440,730,113,7,8,1302,1342,723,901,395,0,417,749,53,853,829,851,751,0,898,572,1423
2018-04,대천동,82576.0887,404.0647,71323.3816,250,65,597,1399,19,2,845,121,79,376,56,73,16,0,503,534,25,16,586,0,712,80,71,298,555,44,101,1,1393,19,1042
