base_date,emd_nm,waste_em_cnt,waste_em_g,waste_pay_amt
2018-02,연동,80743,191655500,5725187
2018-02,영천동,5595,24788850,739562
2018-02,예래동,2732,11120850,315450
2018-02,오라동,20462,51631850,1543747
2018-02,외도동,37306,88582050,2648170
2018-02,용담1동,14064,37374350,1117720
2018-02,용담2동,27464,65950150,1971602
2018-02,이도1동,16827,47339200,1416005
2018-02,이도2동,92603,230440750,6886558
2018-02,이호동,6487,16209850,484669
2018-02,일도1동,5367,18945550,567001
2018-02,일도2동,64735,162109500,4847074
2018-02,정방동,6008,24809550,742786
2018-02,중문동,15809,47371550,1353358
2018-02,중앙동,9977,45550200,1363391
2018-02,천지동,7851,31681900,919488
2018-02,표선면,2856,12179050,364660
2018-02,화북동,47688,105830050,3163011
2018-02,효돈동,5041,19280850,571825
2018-03,건입동,19396,46422450,1387853
2018-03,남원읍,10072,42988350,1287127
2018-03,노형동,117835,268625650,8029649
2018-03,대륜동,21567,57214850,1681467
2018-03,대정읍,11087,43941150,1315494
2018-03,대천동,19840,49992600,1489066
2018-03,도두동,5648,15804550,472743
2018-03,동홍동,46464,117711450,3467250
2018-03,봉개동,3851,10577250,316362
2018-03,삼도1동,29721,73542800,2198903
2018-03,삼도2동,17161,40787200,1203576
2018-03,삼양동,44644,102398050,3023056
2018-03,서홍동,16243,48582800,1445073
2018-03,성산읍,2756,13681050,409754
2018-03,송산동,8127,29374600,836469
2018-03,아라동,56005,126600400,3777257
2018-03,안덕면,2712,9981250,298765
2018-03,알수없음,1169,9287150,278325
2018-03,애월읍,3789,8239050,246239
2018-03,연동,90628,209706300,6263385
2018-03,영천동,6742,29111700,857329
2018-03,예래동,3176,13505550,381015
2018-03,오라동,22804,55909700,1671627
2018-03,외도동,42208,97356250,2910160
2018-03,용담1동,16047,42821400,1280647
2018-03,용담2동,30143,69454350,2076112
2018-03,이도1동,19116,51699300,1546221
2018-03,이도2동,103323,249276500,7448453
2018-03,이호동,7202,18059150,539967
2018-03,일도1동,6370,21493900,643231
2018-03,일도2동,72326,174844000,5218249
2018-03,정방동,7938,30101650,901035
2018-03,중문동,17920,51756300,1474977
2018-03,중앙동,11317,51778250,1548907
2018-03,천지동,8660,35449800,1028420
2018-03,표선면,3439,14019100,419710
2018-03,화북동,53401,114024100,3407381
2018-03,효돈동,3529,14384750,425696
2018-04,건입동,19179,42438700,1268331
2018-04,남원읍,10001,42703500,1278681
2018-04,노형동,116559,248898350,7438077
2018-04,대륜동,21424,55609050,1634928
2018-04,대정읍,11311,41431100,1240205
2018-04,대천동,18862,42731250,1270763
2018-04,도두동,5572,14904200,445722
2018-04,동홍동,42709,100217900,2955831
2018-04,봉개동,3984,10487400,313668
2018-04,삼도1동,29402,66869550,1998767
2018-04,삼도2동,16835,37846950,1115661
2018-04,삼양동,43448,92406800,2727789
2018-04,서홍동,15485,44080700,1312859
2018-04,성산읍,2713,14115500,422756
2018-04,송산동,8300,31331450,897246
2018-04,아라동,57187,120009900,3581667
2018-04,안덕면,2817,9588800,286972
2018-04,알수없음,1305,9853350,295266
2018-04,애월읍,3733,7756850,231792
2018-04,연동,90536,196002700,5852557
2018-04,영천동,6168,26815250,790207
2018-04,예래동,3362,13901900,392205
2018-04,오라동,22516,52750250,1576940
2018-04,외도동,41487,88844750,2655016
2018-04,용담1동,15785,39343900,1176382
2018-04,용담2동,29754,64687850,1933227
2018-04,이도1동,18674,46583350,1392806
2018-04,이도2동,102728,227249550,6788163
2018-04,이호동,7355,17653400,527748
2018-04,일도1동,6222,19784300,591963
2018-04,일도2동,71477,157261450,4691227
2018-04,정방동,6785,25834000,773339
2018-04,중문동,17538,47297550,1358122
2018-04,중앙동,11011,48810600,1460431
2018-04,천지동,7610,30094800,871948
2018-04,표선면,3368,12664250,379094
2018-04,화북동,52710,105834250,3161983
2018-04,효돈동,2242,8599500,253029
2018-05,건입동,21277,44893300,1341494
2018-05,남원읍,11153,42616750,1275783
2018-05,노형동,129778,259232500,7744843
2018-05,대륜동,22382,53686150,1591674
2018-05,대정읍,12810,43391800,1298609
2018-05,대천동,20853,43830200,1301723
2018-05,도두동,6253,15476250,462740
2018-05,동홍동,45795,100885000,2971507
2018-05,봉개동,4727,11513550,344226
2018-05,삼도1동,32645,68054150,2033445
2018-05,삼도2동,19169,38050900,1119702
2018-05,삼양동,48141,97071900,2863184
2018-05,서홍동,16979,44875250,1336662
2018-05,성산읍,3232,14259700,426976
2018-05,송산동,8766,32837750,945340
2018-05,아라동,62967,125428550,3743371
2018-05,안덕면,3288,10540150,315393
2018-05,알수없음,1585,10290950,308329
2018-05,애월읍,4084,7819200,233577
2018-05,연동,99607,201843450,6026218
2018-05,영천동,6037,24046000,708360
2018-05,예래동,3679,14295350,406894
2018-05,오라동,25575,55474400,1657808
2018-05,외도동,46513,94064300,2810329
2018-05,용담1동,17283,39819000,1190275
2018-05,용담2동,33144,66675300,1991981
2018-05,이도1동,20157,47787850,1428647
2018-05,이도2동,113606,234533700,7004233
2018-05,이호동,8384,18423750,550612
2018-05,일도1동,6722,19538650,584494
2018-05,일도2동,78273,159126900,4744067
2018-05,정방동,6979,26162450,783145
2018-05,중문동,19583,48752650,1396958
2018-05,중앙동,11420,45195100,1353006
2018-05,천지동,8093,30358500,887154
2018-05,표선면,3804,13883650,415543
2018-05,화북동,58072,107752200,3218151
2018-05,효돈동,3203,11165100,332352
2018-06,건입동,23311,48187900,1439810
2018-06,남원읍,11733,42287450,1265691
2018-06,노형동,138587,272193365,8131502
2018-06,대륜동,22734,52926700,1571745
2018-06,대정읍,13202,44202200,1322775
2018-06,대천동,21954,45078650,1336915
2018-06,도두동,6760,16682350,498785
2018-06,동홍동,49364,104634500,3074845
2018-06,봉개동,5177,11721950,350348
2018-06,삼도1동,35688,72919400,2178646
2018-06,삼도2동,21206,41411150,1211055
2018-06,삼양동,52339,104939850,3095825
2018-06,서홍동,17531,45915250,1366823
2018-06,성산읍,3240,14160700,423975
2018-06,송산동,8987,31772700,920718
2018-06,아라동,66807,131746050,3930825
2018-06,안덕면,3493,10782750,322623
2018-06,알수없음,1796,10533050,315540
2018-06,애월읍,4276,8349500,249441
2018-06,연동,106320,210002200,6271434
2018-06,영천동,6566,25458350,755476
2018-06,예래동,3873,14140000,401488
2018-06,오라동,28124,60373450,1804156
2018-06,외도동,50174,100357550,2998174
2018-06,용담1동,18322,40188250,1201074
2018-06,용담2동,36591,71688750,2141484
2018-06,이도1동,22372,52173500,1559628
2018-06,이도2동,122949,250202150,7471180
2018-06,이호동,9378,20108550,600861
2018-06,일도1동,7071,19577700,585555
2018-06,일도2동,86147,173428400,5172734
2018-06,정방동,7339,26452950,791746
2018-06,중문동,20601,50341800,1448469
2018-06,중앙동,11843,45387950,1358697
2018-06,천지동,8845,30984500,908094
2018-06,표선면,3327,11408250,341431
2018-06,화북동,62458,114111850,3407792
2018-06,효돈동,3889,12232450,359945
2018-07,건입동,28626,57478250,1717202
2018-07,남원읍,13599,49758400,1489365
2018-07,노형동,166509,327483750,9783283
2018-07,대륜동,26787,63629950,1845498
2018-07,대정읍,13985,50247200,1503933
2018-07,대천동,25030,53081150,1574140
2018-07,도두동,8109,19566250,585020
2018-07,동홍동,58001,125812450,3700341
2018-07,봉개동,6289,14849800,443925
2018-07,삼도1동,43475,87997000,2629071
2018-07,삼도2동,26313,51910050,1523350
2018-07,삼양동,64273,132845050,3920137
2018-07,서홍동,21064,53264700,1585899
2018-07,성산읍,3449,15918350,476677
2018-07,송산동,10858,35965550,1035940
2018-07,아라동,80137,160430750,4786506
2018-07,안덕면,4139,11881650,355422
2018-07,알수없음,2050,11860200,355306
2018-07,애월읍,5031,9775900,292052
2018-07,연동,127759,253462200,7569058
2018-07,영천동,7771,30305000,898503
2018-07,예래동,4460,16477050,474460
2018-07,오라동,34220,73072800,2183643
2018-07,외도동,61048,124292900,3713470
2018-07,용담1동,22707,48926550,1462138
2018-07,용담2동,45368,89787950,2682284
2018-07,이도1동,26933,60661400,1813043
2018-07,이도2동,150903,306877400,9163602
2018-07,이호동,11524,24586600,734701
2018-07,일도1동,8061,20983850,627514
2018-07,일도2동,105732,214415150,6393188
2018-07,정방동,8115,27829500,832917
2018-07,중문동,24565,60829200,1744491
2018-07,중앙동,13182,49115250,1470169
2018-07,천지동,9903,34939200,1023313
2018-07,표선면,3811,14408100,431268
2018-07,화북동,76276,142231050,4247799
2018-07,효돈동,4830,14879900,431982
2018-08,건입동,26842,52553750,1569931
2018-08,남원읍,13714,49571700,1483730
2018-08,노형동,159491,306231800,9147486
2018-08,대륜동,26246,60656200,1756266
2018-08,대정읍,15985,53799900,1610055
2018-08,대천동,25032,52218200,1549444
2018-08,도두동,7809,18073950,540275
2018-08,동홍동,54933,116500150,3422980
2018-08,봉개동,6120,14493600,433257
2018-08,삼도1동,41888,84322600,2519212
2018-08,삼도2동,25227,48277350,1416979
2018-08,삼양동,61645,121738500,3590695
2018-08,서홍동,21462,52265950,1555176
2018-08,성산읍,3282,16154350,483825
2018-08,송산동,10282,33924200,976345
2018-08,아라동,77120,150581150,4492184
2018-08,안덕면,4060,11208700,335248
2018-08,알수없음,2222,12184350,364943
2018-08,애월읍,4454,7980150,238340
2018-08,연동,121127,236127850,7051253
2018-08,영천동,7495,27934350,825782
2018-08,예래동,4733,16294850,471553
2018-08,오라동,32538,68955750,2060554
2018-08,외도동,57730,115475450,3449943
2018-08,용담1동,21494,46123400,1378297
2018-08,용담2동,42578,83612550,2497745
2018-08,이도1동,25327,55988250,1673335
2018-08,이도2동,143767,285745750,8532047
2018-08,이호동,10874,23119700,690891
2018-08,일도1동,7687,20246750,605490
2018-08,일도2동,100784,200952900,5993385
2018-08,정방동,7117,24580550,735655
2018-08,중문동,22807,56208150,1613352
2018-08,중앙동,12462,45654250,1366554
2018-08,천지동,9640,31539700,926396
2018-08,표선면,4018,14854050,444621
2018-08,화북동,72639,130959050,3910722
2018-08,효돈동,4851,14908750,428170
2018-09,건입동,25510,49888000,1490285
2018-09,남원읍,12365,45419400,1359493
2018-09,노형동,144302,259310550,7743748
2018-09,대륜동,23877,50863500,1471947
2018-09,대정읍,15276,50900300,1523162
2018-09,대천동,23196,45676250,1351333
2018-09,도두동,7408,16785750,501748
2018-09,동홍동,50389,100407800,2934279
2018-09,봉개동,5883,13159300,393362
2018-09,삼도1동,37621,70970500,2119627
2018-09,삼도2동,23226,42080450,1237549
2018-09,삼양동,56783,103698750,3058752
2018-09,서홍동,20800,48260450,1438560
2018-09,성산읍,2835,13481700,403769
2018-09,송산동,10698,30837000,883033
2018-09,아라동,70843,128068300,3818254
2018-09,안덕면,3623,9638350,288263
2018-09,알수없음,1550,9085850,272210
2018-09,애월읍,3689,6243150,186405
2018-09,연동,112172,206187100,6155745
2018-09,영천동,6917,25920300,767534
2018-09,예래동,4033,12324850,353914
2018-09,오라동,29839,57673000,1710925
2018-09,외도동,53099,97489600,2911436
2018-09,용담1동,20276,41854350,1250546
2018-09,용담2동,39711,72694000,2171010
2018-09,이도1동,23241,49206600,1470415
2018-09,이도2동,132393,249370800,7444153
2018-09,이호동,9990,19464750,581445
2018-09,일도1동,7476,20998100,628102
2018-09,일도2동,92223,172179500,5133574
2018-09,정방동,7593,25362200,758984
2018-09,중문동,20540,48113500,1379352
2018-09,중앙동,11454,42530750,1266022
2018-09,천지동,9228,29821150,875097
2018-09,표선면,3176,11215400,335666
2018-09,화북동,66343,112172300,3348645
2018-09,효돈동,4998,15811400,452995
2018-10,건입동,23042,45417700,1426422
2018-10,남원읍,11662,44434300,1330102
2018-10,노형동,134077,244370750,7297934
2018-10,대륜동,22438,48485050,1400208
2018-10,대정읍,13956,47706650,1427723
2018-10,대천동,21978,44132850,1310707
2018-10,도두동,6888,16677600,499828
2018-10,동홍동,46571,96178300,2815548
2018-10,봉개동,5437,12044850,360001
2018-10,삼도1동,34547,66964900,2000299
2018-10,삼도2동,21586,40283000,1183118
2018-10,삼양동,51684,95545200,2823001
2018-10,서홍동,19207,46832100,1395039
2018-10,성산읍,2800,13774800,412547
2018-10,송산동,10138,30286950,871292
2018-10,아라동,65156,121516250,3624567
2018-10,안덕면,3398,9233950,276182
2018-10,알수없음,1515,9371850,280781
2018-10,애월읍,3537,5927500,176971
2018-10,연동,103328,194120950,5795548
2018-10,영천동,6659,24895700,735610
2018-10,예래동,3876,11873900,336232
2018-10,오라동,27793,55131400,1626529
2018-10,외도동,49457,93525200,2918915
2018-10,용담1동,18475,38562750,1152202
2018-10,용담2동,35463,65808900,1965438
2018-10,이도1동,21915,47510650,1419794
2018-10,이도2동,118401,225779650,6844792
2018-10,이호동,9009,18088600,559586
2018-10,일도1동,6957,20229300,632563
2018-10,일도2동,83124,156822250,4831648
2018-10,정방동,7665,25386200,759665
2018-10,중문동,18641,42843400,1224311
2018-10,중앙동,11615,44238500,1314755
2018-10,천지동,8591,29502550,864028
2018-10,표선면,3314,11938300,357318
2018-10,화북동,59991,103716450,3096577
2018-10,효돈동,4290,14719850,425001
2018-11,건입동,20791,42954200,1283438
2018-11,남원읍,10756,45008000,1347620
2018-11,노형동,124342,246249750,7356747
2018-11,대륜동,21689,50041200,1443596
2018-11,대정읍,13481,49818000,1491190
2018-11,대천동,20457,43982200,1286078
2018-11,도두동,6403,15927400,476200
2018-11,동홍동,44355,101432950,2983866
2018-11,봉개동,5042,12438750,371898
2018-11,삼도1동,31734,66904150,1999221
2018-11,삼도2동,20066,39478300,1156520
2018-11,삼양동,48542,97723950,2885998
2018-11,서홍동,17721,45646500,1360892
2018-11,성산읍,2879,13387450,400909
2018-11,송산동,9110,28894450,830066
2018-11,아라동,61326,124576750,3715865
2018-11,안덕면,3175,9171400,274335
2018-11,알수없음,1615,9997100,299505
2018-11,애월읍,3388,6189400,184870
2018-11,연동,96205,196586350,5871094
2018-11,영천동,6393,24418450,721739
2018-11,예래동,3592,12548750,355684
2018-11,오라동,25873,55900850,1654089
2018-11,외도동,45494,94443250,2822052
2018-11,용담1동,16845,38430500,1148685
2018-11,용담2동,32192,64771150,1935074
2018-11,이도1동,20428,49084700,1467467
2018-11,이도2동,109093,228491250,6824240
2018-11,이호동,8273,18173250,543171
2018-11,일도1동,6562,20483900,612885
2018-11,일도2동,76286,158478500,4727153
2018-11,정방동,7367,25079050,750490
2018-11,중문동,16869,41720100,1195440
2018-11,중앙동,10724,43884250,1303386
2018-11,천지동,8364,30431850,890351
2018-11,표선면,3763,14475350,433346
2018-11,화북동,55212,104840400,3131381
2018-11,효돈동,3981,14706700,417444
2018-12,건입동,20161,47652200,1424551
2018-12,남원읍,11501,48961900,1465999
2018-12,노형동,123178,273200900,8165560
2018-12,대륜동,21606,54002100,1593933
2018-12,대정읍,12238,52109450,1559839
2018-12,대천동,20550,47963050,1406049
2018-12,도두동,6233,16824600,503216
2018-12,동홍동,43991,109345600,3239146
2018-12,봉개동,6800,15268450,456378
2018-12,삼도1동,30921,73518900,2197844
2018-12,삼도2동,19183,43280150,1275734
2018-12,삼양동,47484,106564050,3156067
2018-12,서홍동,17939,49404600,1462715
2018-12,성산읍,2872,15630200,468149
2018-12,송산동,8489,29534450,872902
2018-12,아라동,60275,134846400,4024785
2018-12,안덕면,3287,10940800,327428
2018-12,알수없음,1335,8593600,257487
2018-12,애월읍,3289,6749250,201654
2018-12,연동,92782,211932650,6332751
2018-12,영천동,6046,25220700,754521
2018-12,예래동,3580,13406250,383591
2018-12,오라동,25950,61793000,1841881
2018-12,외도동,45089,101745450,3041154
2018-12,용담1동,16158,41677600,1246344
2018-12,용담2동,31274,70913350,2119670
2018-12,이도1동,19221,49224550,1471911
2018-12,이도2동,107167,251434850,7512001
2018-12,이호동,7857,19062100,569889
2018-12,일도1동,6294,21310550,637754
2018-12,일도2동,74600,175021800,5223780
2018-12,정방동,7479,28103850,841282
2018-12,중문동,15818,42034050,1209837
2018-12,중앙동,10472,46756350,1393606
2018-12,천지동,8342,33451950,998262
2018-12,표선면,3308,14665050,439157
2018-12,화북동,54869,116152300,3470923
2018-12,효돈동,3907,14628550,417985
2019-01,건입동,19741,46571200,1392203
2019-01,남원읍,10629,45272000,1355508
2019-01,노형동,116979,260492900,7785696
2019-01,대륜동,20265,52272200,1545297
2019-01,대정읍,15727,59920500,1792834
2019-01,대천동,18865,45113300,1319285
2019-01,도두동,5913,15314350,457942
2019-01,동홍동,32267,83674100,2476151
2019-01,봉개동,7395,15822450,472839
2019-01,삼도1동,30087,70912250,2119792
2019-01,삼도2동,18552,40432400,1192998
2019-01,삼양동,46268,102886400,3049165
2019-01,서홍동,14060,40390200,1205227
2019-01,성산읍,6076,40014154,1170175
2019-01,송산동,7485,28136200,840480
2019-01,아라동,58479,131907350,3935919
2019-01,안덕면,5037,19138700,572942
2019-01,알수없음,1077,5044050,151046
2019-01,애월읍,3129,6324700,188969
2019-01,연동,90183,203753650,6087433
2019-01,영천동,4185,17198200,514894
2019-01,예래동,3609,13382150,380619
2019-01,오라동,25403,60950700,1796627
2019-01,외도동,43374,97317450,2908693
2019-01,용담1동,15773,39537950,1182193
2019-01,용담2동,30372,68830800,2057320
2019-01,이도1동,19188,49807950,1489412
2019-01,이도2동,104329,244881100,7316055
2019-01,이호동,7845,19278750,576441
2019-01,일도1동,6072,21091100,631205
2019-01,일도2동,71783,167320100,4994111
2019-01,정방동,4886,18802750,562881
2019-01,중문동,16140,43175000,1245850
2019-01,중앙동,9438,42683800,1265316
2019-01,천지동,5949,23783950,712032
2019-01,표선면,4100,20991050,628725
2019-01,화북동,52878,110709600,3308094
2019-01,효돈동,3237,12324350,356997
2019-02,건입동,18910,46934900,1403269
2019-02,남원읍,7080,27809150,832508
2019-02,노형동,111835,251290500,7510492
2019-02,대륜동,17234,41752800,1231580
2019-02,대정읍,17555,64507450,1929205
2019-02,대천동,14844,36020500,1047644
2019-02,도두동,5621,14416750,431093
2019-02,동홍동,21240,57549400,1704825
2019-02,봉개동,7161,15840150,473422
2019-02,삼도1동,28980,69023300,2063488
2019-02,삼도2동,18214,40530650,1194221
2019-02,삼양동,44277,100438200,2976771
2019-02,서홍동,8893,23934350,715333
2019-02,성산읍,6575,46043704,1348963
2019-02,송산동,4740,16820600,503434
2019-02,아라동,54591,125788600,3755337
2019-02,안덕면,5365,21553400,645298
2019-02,애월읍,2811,5733100,171296
2019-02,연동,83752,191881450,5733305
2019-02,영천동,6211,26749050,800923
2019-02,예래동,3271,12034200,343467
2019-02,오라동,24220,58486400,1724327
2019-02,외도동,40796,93201100,2785911
2019-02,용담1동,15265,38227350,1143049
2019-02,용담2동,29522,66050350,1974199
2019-02,이도1동,17586,43017550,1286104
2019-02,이도2동,97306,231621700,6920097
2019-02,이호동,7603,18806000,562297
2019-02,일도1동,5639,19539750,584788
2019-02,일도2동,69010,164367100,4905669
2019-02,정방동,3450,12873000,385341
2019-02,중문동,13280,36592800,1054462
2019-02,중앙동,6639,30231600,897981
2019-02,천지동,3436,12016050,359641
2019-02,표선면,2853,14571100,436437
2019-02,화북동,50778,108215250,3233761
2019-02,효돈동,3154,11880900,341941
2019-03,건입동,18966,43272850,1293420
2019-03,남원읍,4749,17810750,533149
2019-03,노형동,115276,249789350,7451348
2019-03,대륜동,15630,35447200,1043436
2019-03,대정읍,20864,74448950,2226436
2019-03,대천동,12703,29641700,860628
2019-03,도두동,5700,15020400,449211
2019-03,동홍동,11966,34358750,1021825
2019-03,봉개동,7373,15534700,464209
2019-03,삼도1동,29038,67585050,2020367
2019-03,삼도2동,19154,40510300,1188041
2019-03,삼양동,45290,98265650,2912984
2019-03,서홍동,5778,14023750,418894
2019-03,성산읍,7209,50507700,1510722
2019-03,송산동,2787,9738800,291469
2019-03,아라동,57211,125495000,3744438
2019-03,안덕면,6168,24666050,738470
2019-03,애월읍,3015,6057700,180998
2019-03,연동,86765,192251450,5744477
2019-03,영천동,6512,27313750,817749
2019-03,예래동,2853,10722200,304677
2019-03,오라동,25569,59515150,1755760
2019-03,외도동,42783,93075950,2781648
2019-03,용담1동,15436,37816350,1130617
2019-03,용담2동,29796,65200500,1948563
2019-03,이도1동,18373,45641600,1364694
2019-03,이도2동,100060,227260600,6789207
2019-03,이호동,7900,18573500,555274
2019-03,일도1동,6006,20226750,605293
2019-03,일도2동,69530,158011550,4713792
2019-03,정방동,1988,7155900,214178
2019-03,중문동,10960,30153700,860238
2019-03,중앙동,4201,21994900,658844
2019-03,천지동,2107,8607950,257709
2019-03,표선면,3510,18216400,545623
2019-03,화북동,52028,105681200,3157552
2019-03,효돈동,3297,11991150,345706
2019-04,건입동,18991,41103100,1228391
2019-04,남원읍,4902,16786800,502368
2019-04,노형동,115179,237397550,7080703
2019-04,대륜동,14778,31985850,940809
2019-04,대정읍,22208,76326749,2282592
2019-04,대천동,12674,28034650,821240
2019-04,도두동,5888,15270900,456657
2019-04,동홍동,11882,32622800,968296
2019-04,봉개동,7343,15217800,454669
2019-04,삼도1동,28392,62998400,1882865
2019-04,삼도2동,18667,38799550,1129875
2019-04,삼양동,44832,91513250,2716347
2019-04,서홍동,5789,13657550,403291
2019-04,성산읍,8041,55663526,1637284
2019-04,송산동,3002,11162250,334133
2019-04,아라동,56440,116138550,3463430
2019-04,안덕면,6535,24347150,728826
2019-04,애월읍,2997,5753700,171879
2019-04,연동,87345,184190350,5502015
2019-04,영천동,5291,22056850,660382
2019-04,예래동,2725,9982300,289245
2019-04,오라동,25365,55311750,1633054
2019-04,외도동,42723,87075650,2601705
2019-04,용담1동,15302,35929200,1074104
2019-04,용담2동,29760,63115600,1885997
2019-04,이도1동,18272,42816050,1279930
2019-04,이도2동,98775,211813200,6326026
2019-04,이호동,8221,18478550,552285
2019-04,일도1동,6067,20257050,606201
2019-04,일도2동,69104,146303100,4365368
2019-04,정방동,1970,6699850,200520
2019-04,중문동,10898,28945500,825193
2019-04,중앙동,3892,19401000,581091
2019-04,천지동,1846,6741500,201790
2019-04,표선면,4157,20965700,627930
2019-04,화북동,51843,98866950,2953172
2019-04,효돈동,3609,12001650,346940
2019-05,건입동,21797,45366000,1355574
2019-05,남원읍,12716,45550300,1363350
2019-05,노형동,127025,249305400,7332524
2019-05,대륜동,19665,44419200,1311684
2019-05,대정읍,28406,89408798,2673269
2019-05,대천동,20250,41796850,1233263
2019-05,도두동,6704,16476700,492655
2019-05,동홍동,35644,81200750,2400433
2019-05,봉개동,8453,16219600,484484
2019-05,삼도1동,32062,65460900,1955847
2019-05,삼도2동,19882,39018000,1131398
2019-05,삼양동,51980,101518950,3032639
2019-05,서홍동,15830,38787050,1146927
2019-05,성산읍,9552,58067944,1736152
2019-05,송산동,7345,28696250,854695
2019-05,아라동,64629,128605265,3813658
2019-05,안덕면,7749,27228750,814968
2019-05,애월읍,4231,7364450,163291
2019-05,연동,99507,197044200,5708857
2019-05,영천동,7775,32714050,979514
2019-05,예래동,3166,11338149,331056
2019-05,오라동,28760,59584800,1755197
2019-05,외도동,47726,92812950,2767585
2019-05,용담1동,16825,35526250,1061559
2019-05,용담2동,34096,67551750,2018016
2019-05,이도1동,20653,46101700,1377950
2019-05,이도2동,111376,224717200,6710670
2019-05,이호동,9280,20127650,601533
2019-05,일도1동,6725,20543450,614620
2019-05,일도2동,78561,156256950,4668204
2019-05,정방동,5802,19278900,576919
2019-05,중문동,16710,41810299,1204651
2019-05,중앙동,8712,35140600,1044702
2019-05,천지동,6693,23980550,717764
2019-05,표선면,5625,28076437,819588
2019-05,화북동,60377,109625250,3273807
2019-05,효돈동,4272,14026200,402079
2019-06,건입동,23387,47155800,1408848
2019-06,남원읍,16410,58575550,1752986
2019-06,노형동,133924,258025550,7707839
2019-06,대륜동,21529,45993650,1357397
2019-06,대정읍,29856,94718850,2832294
2019-06,대천동,22971,46918200,1392702
2019-06,도두동,7195,16892650,504994
2019-06,동홍동,47193,103689750,3083745
2019-06,봉개동,8928,16879500,504178
2019-06,삼도1동,34226,68266500,2039509
2019-06,삼도2동,22246,43205150,1248712
2019-06,삼양동,56050,109558700,3272743
2019-06,서홍동,18250,44145400,1311219
2019-06,성산읍,9939,57757046,1730511
2019-06,송산동,8774,32139400,955167
2019-06,아라동,66456,129864113,3873117
2019-06,안덕면,8549,29946400,896334
2019-06,애월읍,4795,8786950,262429
2019-06,연동,104813,204564100,6108931
2019-06,영천동,7482,33003050,988202
2019-06,예래동,5659,18830347,563557
2019-06,오라동,30830,62850300,1854638
2019-06,외도동,50593,97149950,2901907
2019-06,용담1동,18183,37244900,1112836
2019-06,용담2동,36485,69787550,2084589
2019-06,이도1동,22154,47468200,1418543
2019-06,이도2동,120091,234713850,7007927
2019-06,이호동,10131,21368200,638538
2019-06,일도1동,6946,20742350,620555
2019-06,일도2동,84680,161594150,4826798
2019-06,정방동,7263,25376350,759474
2019-06,중문동,26735,72610590,2114013
2019-06,중앙동,9129,32611450,963536
2019-06,천지동,8803,31186600,933393
2019-06,표선면,6005,28636832,841699
2019-06,화북동,66830,116664200,3483234
2019-06,효돈동,1607,4684100,139256
2019-07,건입동,26082,54400500,1625503
2019-07,남원읍,18048,64063450,1916105
2019-07,노형동,151462,295221200,8819321
2019-07,대륜동,27006,61582250,1823602
2019-07,대정읍,29752,99189650,2966150
2019-07,대천동,29065,62889962,1874913
2019-07,도두동,8407,20124150,601668
2019-07,동홍동,59933,135774149,4042666
2019-07,봉개동,10208,20094100,600276
2019-07,삼도1동,39467,81298700,2429112
2019-07,삼도2동,25165,48782500,1414445
