base_date,emd_nm,em_cnt,em_g,pay_amt
2018-01-13,도두동,184,542650,16235
2018-01-13,동홍동,1509,4089800,120981
2018-01-13,봉개동,138,407800,12198
2018-01-13,삼도1동,1006,2766900,82748
2018-01-13,삼도2동,575,1415250,41875
2018-01-13,삼양동,1514,3950750,116812
2018-01-13,서홍동,549,1790650,53312
2018-01-13,성산읍,93,553900,16591
2018-01-13,송산동,216,861050,25156
2018-01-13,아라동,1768,4718650,140570
2018-01-13,안덕면,96,392150,11737
2018-01-13,알수없음,49,428050,12827
2018-01-13,애월읍,123,245450,7333
2018-01-13,연동,2982,7314350,218608
2018-01-13,영천동,178,743800,22009
2018-01-13,예래동,116,620150,17588
2018-01-13,오라동,772,2072550,61987
2018-01-13,외도동,1404,3558250,106401
2018-01-13,용담1동,537,1424150,42595
2018-01-13,용담2동,1141,2871400,85848
2018-01-13,이도1동,636,1907500,57065
2018-01-13,이도2동,3474,9336150,279242
2018-01-13,이호동,260,738650,22100
2018-01-13,일도1동,225,838650,25106
2018-01-13,일도2동,2414,6597850,197346
2018-01-13,정방동,207,996050,29826
2018-01-13,중문동,652,2173650,62429
2018-01-13,중앙동,361,1924500,57650
2018-01-13,천지동,286,1306750,38131
2018-01-13,표선면,131,607550,18192
2018-01-13,화북동,1836,4340900,129758
2018-01-13,효돈동,142,685350,20241
2018-01-14,건입동,748,1887100,56432
2018-01-14,남원읍,346,1751200,52456
2018-01-14,노형동,4471,10790400,320614
2018-01-14,대륜동,778,2350850,68635
2018-01-14,대정읍,382,1566150,46893
2018-01-14,대천동,730,2115250,62813
2018-01-14,도두동,211,640900,19172
2018-01-14,동홍동,1625,4383800,129629
2018-01-14,봉개동,146,426950,12774
2018-01-14,삼도1동,1183,2932400,87693
2018-01-14,삼도2동,662,1683350,49991
2018-01-14,삼양동,1755,4286950,126308
2018-01-14,서홍동,514,1565950,46504
2018-01-14,성산읍,97,470700,14097
2018-01-14,송산동,171,688200,20001
2018-01-14,아라동,2037,4842550,143456
2018-01-14,안덕면,106,453300,13574
2018-01-14,알수없음,42,281450,8433
2018-01-14,애월읍,154,338150,10109
2018-01-14,연동,3476,8543200,255388
2018-01-14,영천동,187,1197350,35671
2018-01-14,예래동,149,701850,18963
2018-01-14,오라동,899,2428600,72634
2018-01-14,외도동,1584,4048900,121094
2018-01-14,용담1동,655,1776500,53128
2018-01-14,용담2동,1160,2818500,84276
2018-01-14,이도1동,688,1894200,56645
2018-01-14,이도2동,4140,10741450,321211
2018-01-14,이호동,279,716250,21409
2018-01-14,일도1동,221,780650,23358
2018-01-14,일도2동,2760,7456500,223022
2018-01-14,정방동,205,830450,24865
2018-01-14,중문동,693,2223100,63721
2018-01-14,중앙동,344,1723350,51622
2018-01-14,천지동,303,1344500,39303
2018-01-14,표선면,65,248300,7433
2018-01-14,화북동,1965,4424800,132268
2018-01-14,효돈동,156,627500,18620
2018-01-15,건입동,645,1703150,50931
2018-01-15,남원읍,322,1510950,45242
2018-01-15,노형동,4108,9623550,285902
2018-01-15,대륜동,708,1989300,58262
2018-01-15,대정읍,372,1387250,41526
2018-01-15,대천동,767,2025250,59460
2018-01-15,도두동,176,465850,13927
2018-01-15,동홍동,1563,3994250,117825
2018-01-15,봉개동,147,441650,13213
2018-01-15,삼도1동,997,2547700,76184
2018-01-15,삼도2동,589,1362550,40265
2018-01-15,삼양동,1506,3733500,109907
2018-01-15,서홍동,547,1635100,48555
2018-01-15,성산읍,88,433150,12971
2018-01-15,송산동,191,623750,18291
2018-01-15,아라동,1845,4534350,134341
2018-01-15,안덕면,111,498800,14940
2018-01-15,알수없음,41,301750,9043
2018-01-15,애월읍,130,301850,9025
2018-01-15,연동,3006,7182200,214594
2018-01-15,영천동,149,683100,20426
2018-01-15,예래동,102,434650,12311
2018-01-15,오라동,759,1931350,57741
2018-01-15,외도동,1377,3284300,98179
2018-01-15,용담1동,465,1210450,36191
2018-01-15,용담2동,1025,2559100,76516
2018-01-15,이도1동,630,1960700,58666
2018-01-15,이도2동,3571,8896750,265687
2018-01-15,이호동,253,697950,20875
2018-01-15,일도1동,212,880900,26379
2018-01-15,일도2동,2467,6519050,194957
2018-01-15,정방동,222,914500,27387
2018-01-15,중문동,638,1937450,56061
2018-01-15,중앙동,384,1899050,56872
2018-01-15,천지동,332,1447500,42335
2018-01-15,표선면,121,588750,17637
2018-01-15,화북동,1794,3982700,119036
2018-01-15,효돈동,164,601000,17769
2018-01-16,건입동,449,1172600,35063
2018-01-16,남원읍,199,948700,28419
2018-01-16,노형동,3027,7166250,213694
2018-01-16,대륜동,562,1626750,47184
2018-01-16,대정읍,269,1050150,31441
2018-01-16,대천동,503,1296250,38264
2018-01-16,도두동,131,327400,9793
2018-01-16,동홍동,1107,2855400,84447
2018-01-16,봉개동,102,259500,7761
2018-01-16,삼도1동,672,1680250,50235
2018-01-16,삼도2동,434,1029350,30768
2018-01-16,삼양동,1034,2469600,72945
2018-01-16,서홍동,378,1183150,35288
2018-01-16,성산읍,62,239050,7154
2018-01-16,송산동,160,641350,18909
2018-01-16,아라동,1372,3138400,93171
2018-01-16,안덕면,70,295650,8851
2018-01-16,알수없음,29,210550,6309
2018-01-16,애월읍,90,186550,5574
2018-01-16,연동,2347,5553700,165814
2018-01-16,영천동,140,531750,15776
2018-01-16,예래동,75,289050,8224
2018-01-16,오라동,539,1261900,37722
2018-01-16,외도동,1090,2536300,75821
2018-01-16,용담1동,361,1133300,33913
2018-01-16,용담2동,703,1595950,47701
2018-01-16,이도1동,513,1516250,45364
2018-01-16,이도2동,2577,6580000,196616
2018-01-16,이호동,171,431400,12901
2018-01-16,일도1동,176,508350,15209
2018-01-16,일도2동,1724,4373150,130779
2018-01-16,정방동,167,730350,21871
2018-01-16,중문동,433,1291250,37033
2018-01-16,중앙동,267,1289850,38605
2018-01-16,천지동,200,912150,26714
2018-01-16,표선면,50,204850,6133
2018-01-16,화북동,1347,3005900,89850
2018-01-16,효돈동,104,459100,13625
2018-01-17,건입동,697,1696550,50729
2018-01-17,남원읍,357,1543700,46212
2018-01-17,노형동,4080,9436200,280865
2018-01-17,대륜동,854,2182550,63415
2018-01-17,대정읍,377,1634350,48933
2018-01-17,대천동,786,2210450,65807
2018-01-17,도두동,207,679000,20321
2018-01-17,동홍동,1773,4607350,136157
2018-01-17,봉개동,138,374650,11203
2018-01-17,삼도1동,1051,2640100,78950
2018-01-17,삼도2동,592,1463650,43296
2018-01-17,삼양동,1592,3751850,110483
2018-01-17,서홍동,605,1724200,51393
2018-01-17,성산읍,105,465150,13928
2018-01-17,송산동,210,771800,22761
2018-01-17,아라동,1851,4374900,129736
2018-01-17,안덕면,113,354800,10616
2018-01-17,알수없음,49,408050,12226
2018-01-17,애월읍,122,268000,8014
2018-01-17,연동,3183,7443750,220840
2018-01-17,영천동,239,1152650,34070
2018-01-17,예래동,123,530500,14855
2018-01-17,오라동,749,1857200,55523
2018-01-17,외도동,1424,3472450,103806
2018-01-17,용담1동,553,1515400,45313
2018-01-17,용담2동,1018,2344450,70076
2018-01-17,이도1동,640,1725750,51626
2018-01-17,이도2동,3552,8930000,266681
2018-01-17,이호동,254,625600,18697
2018-01-17,일도1동,206,801350,23993
2018-01-17,일도2동,2571,6360550,190203
2018-01-17,정방동,270,1078800,32287
2018-01-17,중문동,701,2074200,59420
2018-01-17,중앙동,432,2104700,62956
2018-01-17,천지동,363,1537900,44759
2018-01-17,표선면,128,511500,15320
2018-01-17,화북동,1921,4082800,122020
2018-01-17,효돈동,206,874100,26015
2018-01-18,건입동,628,1516300,45331
2018-01-18,남원읍,354,1608150,48163
2018-01-18,노형동,3774,8708250,258948
2018-01-18,대륜동,792,1980600,57716
2018-01-18,대정읍,314,1255750,37604
2018-01-18,대천동,654,1714700,50883
2018-01-18,도두동,192,552100,16510
2018-01-18,동홍동,1492,3993450,117678
2018-01-18,봉개동,127,355950,10640
2018-01-18,삼도1동,995,2420850,72379
2018-01-18,삼도2동,595,1486500,44050
2018-01-18,삼양동,1409,3275050,96771
2018-01-18,서홍동,485,1566000,46369
2018-01-18,성산읍,71,293050,8772
2018-01-18,송산동,228,857150,25284
2018-01-18,아라동,1738,4189600,124198
2018-01-18,안덕면,87,310500,9293
2018-01-18,알수없음,48,337350,10108
2018-01-18,애월읍,138,264550,7906
2018-01-18,연동,2935,6750400,199709
2018-01-18,영천동,200,835550,24964
2018-01-18,예래동,115,467050,13302
2018-01-18,오라동,739,1777950,53156
2018-01-18,외도동,1329,2960200,88242
2018-01-18,용담1동,532,1569250,46947
2018-01-18,용담2동,1001,2308150,68983
2018-01-18,이도1동,657,1890600,56554
2018-01-18,이도2동,3341,8333700,248986
2018-01-18,이호동,245,585550,17510
2018-01-18,일도1동,204,709300,21228
2018-01-18,일도2동,2202,5244600,156777
2018-01-18,정방동,244,862700,25815
2018-01-18,중문동,570,1571550,45042
2018-01-18,중앙동,406,1925600,57665
2018-01-18,천지동,339,1312750,37742
