,resident_base_year,resident_base_month,resident_emd_nm,resident_sex,resident_resid_reg_pop,resident_foreign_pop,resident_total_pop
232,2018,3,일도1동,남성,1561,51,1612
233,2018,3,일도1동,여성,1416,35,1451
234,2018,3,일도2동,남성,17167,88,17255
235,2018,3,일도2동,여성,17793,186,17979
236,2018,3,정방동,남성,1255,55,1310
237,2018,3,정방동,여성,1170,50,1220
238,2018,3,조천읍,남성,12143,295,12438
239,2018,3,조천읍,여성,11440,233,11673
240,2018,3,중문동,남성,5600,140,5740
241,2018,3,중문동,여성,5205,140,5345
242,2018,3,중앙동,남성,1881,45,1926
243,2018,3,중앙동,여성,2054,66,2120
244,2018,3,천지동,남성,1793,50,1843
245,2018,3,천지동,여성,1739,47,1786
246,2018,3,추자면,남성,1015,340,1355
247,2018,3,추자면,여성,843,10,853
248,2018,3,표선면,남성,6301,252,6553
249,2018,3,표선면,여성,5977,151,6128
250,2018,3,한경면,남성,4528,217,4745
251,2018,3,한경면,여성,4471,91,4562
252,2018,3,한림읍,남성,10860,2208,13068
253,2018,3,한림읍,여성,10136,1328,11464
254,2018,3,화북동,남성,12508,217,12725
255,2018,3,화북동,여성,12595,146,12741
256,2018,3,효돈동,남성,2684,48,2732
257,2018,3,효돈동,여성,2634,33,2667
258,2018,4,건입동,남성,5070,143,5213
259,2018,4,건입동,여성,4718,86,4804
260,2018,4,구좌읍,남성,8015,373,8388
261,2018,4,구좌읍,여성,7593,177,7770
262,2018,4,남원읍,남성,9850,428,10278
263,2018,4,남원읍,여성,9353,205,9558
264,2018,4,노형동,남성,26259,941,27200
265,2018,4,노형동,여성,27109,829,27938
266,2018,4,대륜동,남성,6933,89,7022
267,2018,4,대륜동,여성,6754,94,6848
268,2018,4,대정읍,남성,10406,826,11232
269,2018,4,대정읍,여성,10807,681,11488
270,2018,4,대천동,남성,6807,106,6913
271,2018,4,대천동,여성,6544,139,6683
272,2018,4,도두동,남성,1596,43,1639
273,2018,4,도두동,여성,1438,56,1494
274,2018,4,동홍동,남성,11158,614,11772
275,2018,4,동홍동,여성,11563,625,12188
276,2018,4,봉개동,남성,2116,35,2151
277,2018,4,봉개동,여성,1866,40,1906
278,2018,4,삼도1동,남성,7023,77,7100
279,2018,4,삼도1동,여성,7319,94,7413
280,2018,4,삼도2동,남성,4473,131,4604
281,2018,4,삼도2동,여성,4183,97,4280
282,2018,4,삼양동,남성,12157,88,12245
283,2018,4,삼양동,여성,11986,161,12147
284,2018,4,서홍동,남성,5312,56,5368
285,2018,4,서홍동,여성,5332,67,5399
286,2018,4,성산읍,남성,8070,995,9065
287,2018,4,성산읍,여성,7376,553,7929
288,2018,4,송산동,남성,2351,359,2710
289,2018,4,송산동,여성,2102,154,2256
290,2018,4,아라동,남성,15783,533,16316
291,2018,4,아라동,여성,16033,532,16565
292,2018,4,안덕면,남성,6047,279,6326
293,2018,4,안덕면,여성,5630,270,5900
294,2018,4,애월읍,남성,17927,529,18456
295,2018,4,애월읍,여성,16701,484,17185
296,2018,4,연동,남성,20463,754,21217
297,2018,4,연동,여성,20964,934,21898
298,2018,4,영천동,남성,2643,114,2757
299,2018,4,영천동,여성,2544,60,2604
300,2018,4,예래동,남성,2055,73,2128
301,2018,4,예래동,여성,1964,75,2039
302,2018,4,오라동,남성,7048,82,7130
303,2018,4,오라동,여성,6884,109,6993
304,2018,4,외도동,남성,10641,119,10760
305,2018,4,외도동,여성,10400,158,10558
306,2018,4,용담1동,남성,3979,40,4019
307,2018,4,용담1동,여성,3738,44,3782
308,2018,4,용담2동,남성,7893,79,7972
309,2018,4,용담2동,여성,7697,144,7841
310,2018,4,우도면,남성,996,18,1014
311,2018,4,우도면,여성,877,16,893
312,2018,4,이도1동,남성,3977,44,4021
313,2018,4,이도1동,여성,3940,73,4013
314,2018,4,이도2동,남성,24393,230,24623
315,2018,4,이도2동,여성,25420,342,25762
316,2018,4,이호동,남성,2224,67,2291
317,2018,4,이호동,여성,2067,72,2139
318,2018,4,일도1동,남성,1564,49,1613
319,2018,4,일도1동,여성,1419,37,1456
320,2018,4,일도2동,남성,17171,90,17261
321,2018,4,일도2동,여성,17766,186,17952
322,2018,4,정방동,남성,1244,55,1299
323,2018,4,정방동,여성,1173,50,1223
324,2018,4,조천읍,남성,12180,297,12477
325,2018,4,조천읍,여성,11479,241,11720
326,2018,4,중문동,남성,5643,138,5781
327,2018,4,중문동,여성,5230,134,5364
328,2018,4,중앙동,남성,1889,43,1932
329,2018,4,중앙동,여성,2050,66,2116
330,2018,4,천지동,남성,1788,50,1838
331,2018,4,천지동,여성,1742,46,1788
332,2018,4,추자면,남성,1002,334,1336
333,2018,4,추자면,여성,843,10,853
334,2018,4,표선면,남성,6322,249,6571
335,2018,4,표선면,여성,5991,154,6145
336,2018,4,한경면,남성,4546,214,4760
337,2018,4,한경면,여성,4485,92,4577
338,2018,4,한림읍,남성,10868,2213,13081
339,2018,4,한림읍,여성,10168,1357,11525
340,2018,4,화북동,남성,12498,216,12714
341,2018,4,화북동,여성,12571,145,12716
342,2018,4,효돈동,남성,2683,48,2731
343,2018,4,효돈동,여성,2629,34,2663
344,2018,5,건입동,남성,5070,148,5218
345,2018,5,건입동,여성,4730,90,4820
346,2018,5,구좌읍,남성,8021,378,8399
347,2018,5,구좌읍,여성,7624,181,7805
348,2018,5,남원읍,남성,9878,437,10315
349,2018,5,남원읍,여성,9374,201,9575
350,2018,5,노형동,남성,26286,1075,27361
351,2018,5,노형동,여성,27186,898,28084
352,2018,5,대륜동,남성,6954,86,7040
353,2018,5,대륜동,여성,6789,91,6880
354,2018,5,대정읍,남성,10452,840,11292
355,2018,5,대정읍,여성,10840,684,11524
356,2018,5,대천동,남성,6811,101,6912
357,2018,5,대천동,여성,6547,138,6685
358,2018,5,도두동,남성,1586,47,1633
359,2018,5,도두동,여성,1432,66,1498
360,2018,5,동홍동,남성,11162,609,11771
361,2018,5,동홍동,여성,11551,626,12177
362,2018,5,봉개동,남성,2114,38,2152
363,2018,5,봉개동,여성,1865,39,1904
364,2018,5,삼도1동,남성,7001,337,7338
365,2018,5,삼도1동,여성,7306,98,7404
366,2018,5,삼도2동,남성,4451,151,4602
367,2018,5,삼도2동,여성,4166,103,4269
368,2018,5,삼양동,남성,12181,91,12272
369,2018,5,삼양동,여성,12027,156,12183
370,2018,5,서홍동,남성,5309,53,5362
371,2018,5,서홍동,여성,5338,69,5407
372,2018,5,성산읍,남성,8083,1005,9088
373,2018,5,성산읍,여성,7383,553,7936
374,2018,5,송산동,남성,2333,364,2697
375,2018,5,송산동,여성,2092,160,2252
376,2018,5,아라동,남성,15913,538,16451
377,2018,5,아라동,여성,16113,533,16646
378,2018,5,안덕면,남성,6072,282,6354
379,2018,5,안덕면,여성,5648,277,5925
380,2018,5,애월읍,남성,17952,538,18490
381,2018,5,애월읍,여성,16753,500,17253
382,2018,5,연동,남성,20479,763,21242
383,2018,5,연동,여성,20979,942,21921
384,2018,5,영천동,남성,2654,117,2771
385,2018,5,영천동,여성,2551,59,2610
386,2018,5,예래동,남성,2067,81,2148
387,2018,5,예래동,여성,1967,78,2045
388,2018,5,오라동,남성,7086,90,7176
389,2018,5,오라동,여성,6908,108,7016
390,2018,5,외도동,남성,10659,126,10785
391,2018,5,외도동,여성,10412,158,10570
392,2018,5,용담1동,남성,3972,42,4014
393,2018,5,용담1동,여성,3730,44,3774
394,2018,5,용담2동,남성,7905,78,7983
395,2018,5,용담2동,여성,7702,148,7850
396,2018,5,우도면,남성,1001,16,1017
397,2018,5,우도면,여성,877,17,894
398,2018,5,이도1동,남성,3958,45,4003
399,2018,5,이도1동,여성,3949,73,4022
400,2018,5,이도2동,남성,24448,340,24788
401,2018,5,이도2동,여성,25435,354,25789
402,2018,5,이호동,남성,2243,67,2310
403,2018,5,이호동,여성,2077,72,2149
404,2018,5,일도1동,남성,1562,58,1620
405,2018,5,일도1동,여성,1423,38,1461
406,2018,5,일도2동,남성,17140,86,17226
407,2018,5,일도2동,여성,17732,183,17915
408,2018,5,정방동,남성,1242,57,1299
409,2018,5,정방동,여성,1188,49,1237
410,2018,5,조천읍,남성,12215,309,12524
411,2018,5,조천읍,여성,11503,249,11752
412,2018,5,중문동,남성,5660,138,5798
413,2018,5,중문동,여성,5256,139,5395
414,2018,5,중앙동,남성,1890,41,1931
415,2018,5,중앙동,여성,2050,63,2113
416,2018,5,천지동,남성,1806,60,1866
417,2018,5,천지동,여성,1761,44,1805
418,2018,5,추자면,남성,990,324,1314
419,2018,5,추자면,여성,835,11,846
420,2018,5,표선면,남성,6314,257,6571
421,2018,5,표선면,여성,6007,157,6164
422,2018,5,한경면,남성,4574,219,4793
423,2018,5,한경면,여성,4519,94,4613
424,2018,5,한림읍,남성,10898,2235,13133
425,2018,5,한림읍,여성,10214,1368,11582
426,2018,5,화북동,남성,12522,222,12744
427,2018,5,화북동,여성,12561,146,12707
428,2018,5,효돈동,남성,2689,48,2737
429,2018,5,효돈동,여성,2630,35,2665
430,2018,6,건입동,남성,5059,153,5212
431,2018,6,건입동,여성,4723,96,4819
432,2018,6,구좌읍,남성,8038,400,8438
433,2018,6,구좌읍,여성,7634,189,7823
434,2018,6,남원읍,남성,9862,472,10334
435,2018,6,남원읍,여성,9388,208,9596
436,2018,6,노형동,남성,26334,1097,27431
437,2018,6,노형동,여성,27234,915,28149
438,2018,6,대륜동,남성,6960,89,7049
439,2018,6,대륜동,여성,6815,93,6908
440,2018,6,대정읍,남성,10437,868,11305
441,2018,6,대정읍,여성,10810,657,11467
442,2018,6,대천동,남성,6811,101,6912
443,2018,6,대천동,여성,6547,138,6685
444,2018,6,도두동,남성,1593,49,1642
445,2018,6,도두동,여성,1443,65,1508
446,2018,6,동홍동,남성,11182,615,11797
447,2018,6,동홍동,여성,11569,628,12197
448,2018,6,봉개동,남성,2103,40,2143
449,2018,6,봉개동,여성,1871,40,1911
450,2018,6,삼도1동,남성,6994,190,7184
451,2018,6,삼도1동,여성,7285,97,7382
452,2018,6,삼도2동,남성,4444,154,4598
453,2018,6,삼도2동,여성,4157,112,4269
454,2018,6,삼양동,남성,12233,86,12319
455,2018,6,삼양동,여성,12073,154,12227
456,2018,6,서홍동,남성,5300,56,5356
457,2018,6,서홍동,여성,5341,69,5410
458,2018,6,성산읍,남성,8082,1072,9154
459,2018,6,성산읍,여성,7413,566,7979
460,2018,6,송산동,남성,2336,372,2708
461,2018,6,송산동,여성,2084,159,2243
462,2018,6,아라동,남성,16038,534,16572
463,2018,6,아라동,여성,16234,535,16769
464,2018,6,안덕면,남성,6070,291,6361
465,2018,6,안덕면,여성,5645,301,5946
466,2018,6,애월읍,남성,18005,546,18551
467,2018,6,애월읍,여성,16826,485,17311
468,2018,6,연동,남성,20462,761,21223
469,2018,6,연동,여성,20947,944,21891
470,2018,6,영천동,남성,2647,115,2762
471,2018,6,영천동,여성,2553,62,2615
472,2018,6,예래동,남성,2071,94,2165
473,2018,6,예래동,여성,1983,86,2069
474,2018,6,오라동,남성,7205,93,7298
475,2018,6,오라동,여성,7012,113,7125
476,2018,6,외도동,남성,10690,131,10821
477,2018,6,외도동,여성,10455,160,10615
478,2018,6,용담1동,남성,3944,41,3985
479,2018,6,용담1동,여성,3709,43,3752
480,2018,6,용담2동,남성,7894,80,7974
481,2018,6,용담2동,여성,7673,155,7828
482,2018,6,우도면,남성,1007,20,1027
483,2018,6,우도면,여성,878,14,892
484,2018,6,이도1동,남성,3933,49,3982
485,2018,6,이도1동,여성,3947,72,4019
486,2018,6,이도2동,남성,24462,303,24765
487,2018,6,이도2동,여성,25452,360,25812
488,2018,6,이호동,남성,2261,74,2335
489,2018,6,이호동,여성,2093,73,2166
490,2018,6,일도1동,남성,1559,62,1621
491,2018,6,일도1동,여성,1417,34,1451
492,2018,6,일도2동,남성,17112,96,17208
493,2018,6,일도2동,여성,17670,183,17853
494,2018,6,정방동,남성,1238,58,1296
495,2018,6,정방동,여성,1181,48,1229
496,2018,6,조천읍,남성,12242,317,12559
497,2018,6,조천읍,여성,11538,253,11791
498,2018,6,중문동,남성,5693,142,5835
499,2018,6,중문동,여성,5291,149,5440
500,2018,6,중앙동,남성,1885,42,1927
501,2018,6,중앙동,여성,2055,62,2117
502,2018,6,천지동,남성,1800,60,1860
503,2018,6,천지동,여성,1760,45,1805
504,2018,6,추자면,남성,994,332,1326
505,2018,6,추자면,여성,838,12,850
506,2018,6,표선면,남성,6315,265,6580
507,2018,6,표선면,여성,6018,155,6173
508,2018,6,한경면,남성,4574,246,4820
509,2018,6,한경면,여성,4520,97,4617
510,2018,6,한림읍,남성,10884,2320,13204
511,2018,6,한림읍,여성,10217,1347,11564
512,2018,6,화북동,남성,12535,223,12758
513,2018,6,화북동,여성,12556,151,12707
514,2018,6,효돈동,남성,2689,48,2737
515,2018,6,효돈동,여성,2633,33,2666
516,2018,7,건입동,남성,5050,160,5210
517,2018,7,건입동,여성,4725,98,4823
518,2018,7,구좌읍,남성,8054,412,8466
519,2018,7,구좌읍,여성,7661,189,7850
520,2018,7,남원읍,남성,9837,490,10327
521,2018,7,남원읍,여성,9353,210,9563
522,2018,7,노형동,남성,26333,1109,27442
523,2018,7,노형동,여성,27247,929,28176
524,2018,7,대륜동,남성,7002,92,7094
525,2018,7,대륜동,여성,6851,93,6944
526,2018,7,대정읍,남성,10453,866,11319
527,2018,7,대정읍,여성,10827,648,11475
528,2018,7,대천동,남성,6892,108,7000
529,2018,7,대천동,여성,6619,135,6754
530,2018,7,도두동,남성,1606,69,1675
531,2018,7,도두동,여성,1459,67,1526
532,2018,7,동홍동,남성,11204,623,11827
533,2018,7,동홍동,여성,11577,629,12206
534,2018,7,봉개동,남성,2110,39,2149
535,2018,7,봉개동,여성,1893,44,1937
536,2018,7,삼도1동,남성,7012,143,7155
537,2018,7,삼도1동,여성,7269,93,7362
538,2018,7,삼도2동,남성,4436,158,4594
539,2018,7,삼도2동,여성,4131,112,4243
540,2018,7,삼양동,남성,12316,89,12405
541,2018,7,삼양동,여성,12148,153,12301
542,2018,7,서홍동,남성,5291,57,5348
543,2018,7,서홍동,여성,5344,67,5411
544,2018,7,성산읍,남성,8087,1087,9174
545,2018,7,성산읍,여성,7404,572,7976
546,2018,7,송산동,남성,2329,388,2717
547,2018,7,송산동,여성,2080,161,2241
548,2018,7,아라동,남성,16196,533,16729
549,2018,7,아라동,여성,16387,533,16920
550,2018,7,안덕면,남성,6101,304,6405
551,2018,7,안덕면,여성,5645,342,5987
552,2018,7,애월읍,남성,18069,545,18614
553,2018,7,애월읍,여성,16874,490,17364
554,2018,7,연동,남성,20429,769,21198
555,2018,7,연동,여성,21033,952,21985
556,2018,7,영천동,남성,2660,126,2786
557,2018,7,영천동,여성,2561,63,2624
558,2018,7,예래동,남성,2057,118,2175
559,2018,7,예래동,여성,1969,110,2079
560,2018,7,오라동,남성,7246,102,7348
561,2018,7,오라동,여성,7041,115,7156
562,2018,7,외도동,남성,10739,130,10869
563,2018,7,외도동,여성,10493,161,10654
564,2018,7,용담1동,남성,3919,42,3961
565,2018,7,용담1동,여성,3697,45,3742
566,2018,7,용담2동,남성,7891,85,7976
567,2018,7,용담2동,여성,7670,160,7830
568,2018,7,우도면,남성,1002,21,1023
569,2018,7,우도면,여성,886,14,900
570,2018,7,이도1동,남성,3920,50,3970
571,2018,7,이도1동,여성,3955,75,4030
572,2018,7,이도2동,남성,24445,302,24747
573,2018,7,이도2동,여성,25383,352,25735
574,2018,7,이호동,남성,2286,69,2355
575,2018,7,이호동,여성,2109,75,2184
576,2018,7,일도1동,남성,1549,76,1625
577,2018,7,일도1동,여성,1409,39,1448
578,2018,7,일도2동,남성,17060,106,17166
579,2018,7,일도2동,여성,17624,183,17807
580,2018,7,정방동,남성,1219,60,1279
581,2018,7,정방동,여성,1176,49,1225
582,2018,7,조천읍,남성,12305,338,12643
583,2018,7,조천읍,여성,11583,254,11837
584,2018,7,중문동,남성,5735,148,5883
585,2018,7,중문동,여성,5340,146,5486
586,2018,7,중앙동,남성,1883,42,1925
587,2018,7,중앙동,여성,2058,63,2121
588,2018,7,천지동,남성,1802,66,1868
589,2018,7,천지동,여성,1754,43,1797
590,2018,7,추자면,남성,983,328,1311
591,2018,7,추자면,여성,838,12,850
592,2018,7,표선면,남성,6340,271,6611
593,2018,7,표선면,여성,6038,151,6189
594,2018,7,한경면,남성,4562,252,4814
595,2018,7,한경면,여성,4525,100,4625
596,2018,7,한림읍,남성,10895,2321,13216
597,2018,7,한림읍,여성,10231,1342,11573
598,2018,7,화북동,남성,12520,228,12748
599,2018,7,화북동,여성,12553,158,12711
600,2018,7,효돈동,남성,2697,52,2749
601,2018,7,효돈동,여성,2637,31,2668
602,2018,8,건입동,남성,5038,163,5201
603,2018,8,건입동,여성,4718,101,4819
604,2018,8,구좌읍,남성,8037,410,8447
605,2018,8,구좌읍,여성,7640,198,7838
606,2018,8,남원읍,남성,9825,493,10318
607,2018,8,남원읍,여성,9348,211,9559
608,2018,8,노형동,남성,26363,1117,27480
609,2018,8,노형동,여성,27292,923,28215
610,2018,8,대륜동,남성,7002,93,7095
611,2018,8,대륜동,여성,6866,97,6963
612,2018,8,대정읍,남성,10530,956,11486
613,2018,8,대정읍,여성,10929,772,11701
614,2018,8,대천동,남성,6915,104,7019
