base_date,emd_nm,short_nationality_CHN,short_nationality_ETC,short_nationality_HKG,short_nationality_IDN,short_nationality_JPN,short_nationality_MYS,short_nationality_SGP,short_nationality_THA,short_nationality_USA,short_nationality_VNM,short_visit_pop_cnt
2018-02,도두동,672,631,316,23,487,402,86,561,112,0,94725.4227
2018-02,동홍동,672,670,232,15,150,366,240,31,345,0,47740.01939999999
2018-02,봉개동,586,601,210,40,64,134,22,54,102,0,18190.421299999998
2018-02,삼도1동,570,305,51,106,261,310,69,14,156,0,11588.171
2018-02,삼도2동,672,660,409,137,510,531,224,147,84,103,91596.4257
2018-02,삼양동,455,578,0,40,285,156,12,12,156,7,10574.7016
2018-02,서홍동,672,672,329,58,299,210,85,93,279,108,108938.81030000001
2018-02,성산읍,672,672,402,176,272,671,412,379,353,102,114259.28260000002
2018-02,송산동,583,355,116,31,107,168,50,3,107,0,9147.409499999998
2018-02,아라동,672,566,112,26,367,421,267,84,404,59,30298.9226
2018-02,안덕면,672,672,538,23,362,514,388,411,572,46,109912.2991
2018-02,애월읍,672,672,589,152,428,664,435,512,593,10,178746.2011
2018-02,연동,672,672,659,282,672,666,546,506,527,115,822859.3177000001
2018-02,영천동,671,489,195,50,266,163,10,4,53,0,17927.432600000004
2018-02,예래동,672,672,505,58,409,458,328,122,582,26,186458.24829999995
2018-02,오라동,665,457,113,138,129,425,149,110,116,3,18324.052900000002
2018-02,외도동,337,288,58,0,167,134,34,499,0,0,12428.5205
2018-02,용담1동,635,240,100,52,219,120,65,26,6,0,9970.810300000001
2018-02,용담2동,672,672,605,340,672,651,521,672,516,100,568083.7208
2018-02,우도면,578,181,48,5,12,152,65,1,31,1,11669.994100000002
2018-02,이도1동,672,641,281,19,338,303,143,25,316,33,25530.088599999995
2018-02,이도2동,672,644,84,87,408,441,246,191,201,44,49233.251599999996
2018-02,이호동,645,507,53,2,130,269,58,653,119,0,35059.3497
2018-02,일도1동,571,310,74,70,159,345,78,94,6,0,14072.053800000005
2018-02,일도2동,669,382,141,85,327,180,16,8,140,0,15649.965500000002
2018-02,정방동,672,655,371,154,338,562,228,113,211,0,57265.794900000015
2018-02,조천읍,672,651,279,14,565,498,285,248,316,25,43088.17259999999
2018-02,중문동,665,549,255,15,144,465,171,17,80,34,28757.2329
2018-02,중앙동,661,505,179,104,159,352,86,3,142,0,13934.8523
2018-02,천지동,664,461,387,107,176,313,151,0,73,4,23397.2495
2018-02,추자면,624,601,159,33,6,88,141,25,36,42,19907.344900000004
2018-02,표선면,672,605,245,85,248,523,156,388,256,55,41273.55529999999
2018-02,한경면,672,289,132,0,9,105,14,64,40,3,9869.649300000001
2018-02,한림읍,672,672,259,242,266,275,153,172,581,7,69710.8394
2018-02,화북동,405,232,6,0,145,27,0,24,167,0,4024.3312999999994
2018-02,효돈동,468,60,3,0,9,79,7,0,43,0,3211.0125000000003
2018-03,건입동,742,743,679,292,585,730,638,188,441,104,112258.85439999998
2018-03,구좌읍,744,670,462,30,506,676,553,275,488,25,80636.8339
2018-03,남원읍,744,744,453,206,427,595,439,314,592,210,167708.2054
2018-03,노형동,744,744,709,285,743,717,609,393,706,83,318642.44499999995
2018-03,대륜동,744,711,385,153,359,607,451,169,492,80,59130.6347
2018-03,대정읍,744,700,369,56,381,451,364,466,355,5,77385.70569999999
2018-03,대천동,739,416,331,26,314,486,301,93,276,26,32541.6551
2018-03,도두동,744,706,441,102,511,496,221,592,323,1,118383.5462
2018-03,동홍동,731,454,192,2,272,508,498,91,242,2,27105.826999999994
2018-03,봉개동,670,714,297,47,170,317,173,125,386,1,29082.837000000007
2018-03,삼도1동,617,447,212,169,346,479,392,3,144,0,18513.0549
2018-03,삼도2동,744,680,568,142,743,715,560,207,357,54,125505.06850000001
2018-03,삼양동,627,546,53,2,80,159,86,0,73,0,11136.649300000001
2018-03,서홍동,744,744,357,63,339,377,278,216,237,147,168196.63129999995
2018-03,성산읍,744,744,696,207,443,744,665,398,569,107,184019.2443
2018-03,송산동,647,406,140,0,138,445,269,17,117,0,11104.5556
2018-03,아라동,744,714,409,61,380,438,446,112,431,244,59371.670000000006
2018-03,안덕면,744,744,729,52,526,664,505,418,649,184,390327.16310000006
2018-03,애월읍,744,744,725,490,455,685,672,531,729,77,238145.9458
2018-03,연동,744,744,738,342,744,738,735,598,717,342,1229356.8002
2018-03,영천동,661,363,195,0,62,207,329,100,195,0,12093.584400000002
2018-03,예래동,744,744,716,257,741,675,655,418,693,12,173117.4986
2018-03,오라동,744,646,269,39,379,525,285,71,303,3,39148.30000000001
2018-03,외도동,661,406,18,1,76,98,243,604,161,0,25193.1245
2018-03,용담1동,707,322,212,24,246,287,106,3,110,0,14113.707699999999
2018-03,용담2동,744,744,724,469,744,735,720,744,631,155,784111.9682999998
2018-03,우도면,634,297,169,26,97,172,173,2,87,4,14176.2469
2018-03,이도1동,744,618,301,78,385,431,236,127,320,4,34619.9625
2018-03,이도2동,744,712,541,133,598,587,429,220,516,7,82502.0492
2018-03,이호동,679,564,140,73,163,200,118,720,168,0,61700.72460000001
2018-03,일도1동,704,329,165,20,233,421,192,59,133,2,17708.977700000003
2018-03,일도2동,742,420,98,20,636,356,203,7,207,0,24269.3572
2018-03,정방동,742,591,548,82,396,707,533,270,351,14,55250.31690000001
2018-03,조천읍,744,739,413,94,360,650,632,105,564,59,69731.1882
2018-03,중문동,744,692,294,155,370,525,451,68,475,34,72655.49410000001
2018-03,중앙동,741,535,237,73,303,550,197,3,355,0,20653.2245
2018-03,천지동,686,520,247,53,444,675,429,24,181,4,25318.228400000004
2018-03,추자면,641,692,273,18,58,122,138,65,212,39,27644.948199999995
2018-03,표선면,744,659,368,102,448,672,389,424,548,81,68725.7131
2018-03,한경면,744,513,41,6,52,220,158,247,197,0,28177.251099999998
2018-03,한림읍,744,744,389,329,344,430,395,151,574,62,98026.6381
2018-03,화북동,744,450,110,33,87,91,98,3,181,0,17238.9997
2018-03,효돈동,334,107,28,0,30,79,26,66,113,0,3483.7754
2018-04,건입동,720,718,716,484,666,702,704,358,598,196,151971.7736
2018-04,구좌읍,720,715,655,114,479,674,602,373,553,72,78623.24339999998
2018-04,남원읍,720,720,608,197,464,497,598,233,645,204,194940.54460000002
2018-04,노형동,720,720,708,482,705,704,691,210,662,397,275911.47479999997
2018-04,대륜동,720,716,622,333,377,465,499,136,667,178,65424.711299999995
2018-04,대정읍,720,720,445,163,348,498,548,378,458,69,90099.65980000004
2018-04,대천동,718,585,431,176,329,436,378,40,659,191,32733.707399999992
2018-04,도두동,720,710,569,218,619,641,522,648,388,116,143119.20779999997
2018-04,동홍동,720,659,447,72,223,549,455,37,506,52,37781.0923
2018-04,봉개동,709,670,260,8,345,332,279,32,328,98,39378.267100000005
2018-04,삼도1동,714,670,397,143,363,387,427,138,345,76,23359.423299999995
2018-04,삼도2동,720,718,649,295,713,706,619,246,504,217,146261.71980000005
2018-04,삼양동,674,533,32,108,179,167,44,1,118,128,13082.734499999999
2018-04,서홍동,720,720,342,25,220,234,409,52,227,99,105402.01640000001
2018-04,성산읍,720,720,699,475,600,720,714,491,639,266,204012.6423
2018-04,송산동,642,646,330,2,75,385,391,129,307,0,18847.8683
2018-04,아라동,720,695,323,198,433,372,498,7,649,18,41206.7414
2018-04,안덕면,720,720,720,175,565,629,703,404,694,303,274568.5759
2018-04,애월읍,720,720,680,226,646,711,718,486,720,176,249621.9129
2018-04,연동,720,720,720,624,720,715,720,603,706,441,1173260.8453
2018-04,영천동,710,572,171,12,410,343,213,125,220,91,23082.655899999987
2018-04,예래동,720,720,697,209,702,634,673,533,720,53,211606.92760000002
2018-04,오라동,720,699,419,209,473,442,331,99,249,182,41981.532600000006
2018-04,외도동,620,469,166,30,50,110,197,633,321,42,39080.8289
2018-04,용담1동,695,484,283,89,198,397,204,7,133,23,15759.645499999997
2018-04,용담2동,720,720,720,578,720,720,720,720,715,487,824314.7886000003
2018-04,우도면,720,596,268,12,102,225,258,7,210,0,29702.825800000002
2018-04,이도1동,720,677,348,76,552,439,371,80,334,51,36933.304299999996
2018-04,이도2동,720,716,567,332,639,587,576,299,658,152,80570.82870000001
2018-04,이호동,720,486,232,19,312,270,284,664,109,19,50025.07100000001
2018-04,일도1동,698,580,277,104,250,440,281,120,172,9,19598.5192
2018-04,일도2동,720,515,231,44,573,382,135,6,276,0,22415.351099999996
2018-04,정방동,720,701,654,125,424,684,677,307,547,62,72810.5056
2018-04,조천읍,720,720,499,230,661,683,661,241,720,161,111219.3032
2018-04,중문동,720,711,484,82,475,593,478,269,518,83,51933.62410000001
2018-04,중앙동,718,519,131,84,264,551,286,49,212,6,19609.867299999998
2018-04,천지동,712,665,411,139,273,628,568,70,539,95,30389.474400000003
2018-04,추자면,706,718,277,60,113,101,410,71,146,86,42882.98089999999
2018-04,표선면,720,717,504,307,595,596,441,498,504,186,85377.67669999997
2018-04,한경면,719,691,175,35,163,239,272,42,407,70,27559.2719
2018-04,한림읍,720,720,534,210,481,463,559,258,632,102,103289.78910000001
2018-04,화북동,654,385,22,1,281,108,80,134,185,36,12149.814000000004
2018-04,효돈동,602,424,61,1,326,112,53,33,173,0,6585.7269000000015
2018-05,건입동,744,744,743,296,678,730,692,246,593,154,148825.1216
2018-05,구좌읍,744,733,627,29,606,701,631,276,682,20,77166.83080000001
2018-05,남원읍,744,744,523,234,617,479,665,400,693,223,222367.74300000002
2018-05,노형동,744,744,736,145,670,729,702,285,699,63,278876.70729999995
2018-05,대륜동,744,741,572,127,423,667,622,150,737,25,62244.40959999999
2018-05,대정읍,744,702,484,198,261,517,475,440,473,133,69000.5641
2018-05,대천동,744,685,386,56,184,372,411,17,544,0,23578.449500000002
2018-05,도두동,744,744,573,140,672,678,453,601,506,96,160577.52120000002
2018-05,동홍동,744,657,255,5,525,500,406,20,633,5,31175.412899999996
2018-05,봉개동,744,719,331,40,293,313,428,62,435,164,55713.010900000016
2018-05,삼도1동,735,654,451,110,415,716,334,39,322,0,33481.192800000004
2018-05,삼도2동,744,744,684,201,738,735,644,230,675,122,179287.4599
2018-05,삼양동,699,673,51,26,447,194,142,18,543,28,17218.095999999998
2018-05,서홍동,742,740,324,103,245,336,444,39,214,83,101567.16480000003
2018-05,성산읍,744,744,732,259,687,742,709,446,697,239,174966.8017
2018-05,송산동,739,715,324,108,178,579,329,26,475,0,20190.478800000004
2018-05,아라동,744,710,537,85,468,352,407,99,457,52,41761.07769999999
2018-05,안덕면,744,744,741,69,606,647,709,358,720,202,303846.7356000001
2018-05,애월읍,744,744,712,271,638,718,735,654,738,360,292828.19
2018-05,연동,744,744,744,407,744,744,744,542,738,405,1128432.5713
2018-05,영천동,731,592,125,0,301,335,270,3,521,0,15325.0398
2018-05,예래동,744,744,733,256,720,722,670,256,737,30,199257.67119999998
2018-05,오라동,744,720,419,76,488,733,337,128,591,10,41632.494999999995
2018-05,외도동,507,455,80,7,49,210,313,662,189,0,47180.4137
2018-05,용담1동,720,534,207,110,203,274,238,85,200,16,15144.832500000004
2018-05,용담2동,744,744,744,589,744,744,744,744,744,311,901957.5538999999
2018-05,우도면,744,586,309,10,133,282,227,11,256,6,28914.438399999995
2018-05,이도1동,744,711,424,103,643,636,407,34,574,6,43120.996699999996
2018-05,이도2동,744,737,629,180,596,643,536,238,658,68,66657.1052
2018-05,이호동,705,591,332,0,309,311,144,699,373,35,56628.47789999999
2018-05,일도1동,715,360,308,151,300,412,181,86,163,3,17945.344800000003
2018-05,일도2동,700,411,104,6,512,239,269,14,403,29,15454.718900000002
2018-05,정방동,744,740,701,89,479,679,717,208,647,23,60732.70110000001
2018-05,조천읍,744,744,542,108,574,606,639,236,702,141,97604.22459999997
2018-05,중문동,744,694,454,45,379,552,516,99,649,65,49558.768599999996
2018-05,중앙동,739,585,282,59,131,481,318,100,286,0,18791.408
2018-05,천지동,715,728,410,127,323,680,579,123,438,20,31210.028400000003
2018-05,추자면,744,738,381,14,81,106,432,57,199,112,75592.1188
2018-05,표선면,744,712,565,154,601,622,588,448,661,93,83519.09790000002
2018-05,한경면,744,655,310,3,203,238,244,49,473,6,23580.180299999996
2018-05,한림읍,744,744,547,136,585,553,633,41,646,91,115255.97499999999
2018-05,화북동,655,500,3,0,281,49,18,237,60,183,13191.2968
2018-05,효돈동,339,227,37,4,57,80,49,2,185,0,2775.7892999999995
2018-06,건입동,720,720,720,405,706,680,688,256,634,227,189059.5962
2018-06,구좌읍,720,720,644,103,612,707,661,257,696,40,80320.61619999999
2018-06,남원읍,720,720,612,223,533,583,605,226,710,234,409692.2195
2018-06,노형동,720,720,718,388,651,707,714,305,707,213,289286.4255
2018-06,대륜동,720,719,608,407,401,664,640,190,711,80,87537.70719999999
2018-06,대정읍,720,720,485,386,374,461,479,325,653,40,61410.48209999998
2018-06,대천동,717,666,414,115,120,394,398,53,538,0,29548.36869999999
2018-06,도두동,720,720,614,313,673,625,683,365,622,104,163720.17299999998
2018-06,동홍동,720,702,518,10,581,564,540,27,653,0,42993.70199999999
2018-06,봉개동,717,718,377,55,293,294,487,14,585,46,42904.157100000004
2018-06,삼도1동,709,624,503,302,269,506,439,11,236,0,29908.154100000003
2018-06,삼도2동,720,720,692,437,720,690,696,146,655,180,196149.67259999996
2018-06,삼양동,708,669,106,54,313,237,193,26,377,2,20224.0218
2018-06,서홍동,707,567,234,30,181,369,313,131,508,25,102068.16209999999
2018-06,성산읍,720,720,683,454,657,720,693,286,708,258,219104.13780000003
2018-06,송산동,706,666,300,58,231,546,497,89,476,38,24745.8915
2018-06,아라동,720,666,655,181,516,436,574,39,639,132,58670.10030000002
2018-06,안덕면,720,720,720,182,677,659,720,472,720,142,274051.23589999997
2018-06,애월읍,720,720,710,355,675,695,707,560,720,200,422526.01740000007
2018-06,연동,720,720,720,511,720,720,720,571,718,618,1214603.3461999998
2018-06,영천동,675,551,191,61,190,376,232,92,514,0,24265.433400000005
2018-06,예래동,720,720,720,268,717,641,713,214,720,58,235714.60290000003
2018-06,오라동,720,707,464,189,523,608,331,141,550,35,41869.97899999999
2018-06,외도동,681,521,218,57,114,275,371,639,452,32,57676.89460000001
2018-06,용담1동,651,471,199,112,179,292,235,12,124,16,13954.157200000003
2018-06,용담2동,720,720,720,502,720,720,720,692,714,328,875382.2766
2018-06,우도면,712,714,315,26,175,324,427,43,309,33,53934.4877
2018-06,이도1동,713,647,428,147,660,474,452,141,668,29,40167.273100000006
2018-06,이도2동,720,720,579,169,488,508,551,317,641,76,69890.57759999999
2018-06,이호동,719,570,308,57,72,350,245,525,332,27,36420.1692
2018-06,일도1동,683,388,350,75,347,381,326,68,157,3,18559.8855
2018-06,일도2동,695,426,160,36,267,277,237,31,248,1,13598.337500000001
2018-06,정방동,720,715,695,201,539,684,639,147,713,25,93105.2672
2018-06,조천읍,720,720,562,246,619,670,673,254,720,124,113030.69260000004
2018-06,중문동,720,699,434,114,419,519,636,286,638,112,61344.669600000016
2018-06,중앙동,716,675,381,119,323,536,367,35,509,3,23742.635299999998
2018-06,천지동,719,699,437,107,472,671,592,77,579,49,42911.3063
2018-06,추자면,719,718,383,85,187,126,553,86,256,43,91200.6865
2018-06,표선면,720,720,576,214,558,562,617,448,718,168,109730.14660000002
2018-06,한경면,720,584,126,12,201,272,197,33,373,2,19584.11890000001
2018-06,한림읍,720,720,614,403,399,552,665,298,711,58,135786.7777
2018-06,화북동,648,383,9,31,338,166,60,30,162,0,10294.3552
2018-06,효돈동,320,127,28,0,37,82,186,1,306,0,3209.6993999999995
2018-07,건입동,744,744,742,276,556,576,628,330,614,178,139404.64119999998
2018-07,구좌읍,744,744,663,100,447,500,603,316,729,13,81814.0253
2018-07,남원읍,744,744,641,301,471,634,529,536,702,395,293531.765
2018-07,노형동,744,744,739,171,716,652,735,421,735,82,313681.3606999999
2018-07,대륜동,744,744,615,157,574,542,470,281,720,26,69828.7222
2018-07,대정읍,744,716,308,8,336,245,219,210,607,8,29305.126600000003
2018-07,대천동,739,729,380,32,152,276,235,173,592,25,26921.321399999993
2018-07,도두동,744,744,651,241,704,572,718,289,701,35,218824.986
2018-07,동홍동,744,744,321,20,370,389,315,120,680,29,61023.6701
2018-07,봉개동,737,733,413,41,279,160,425,373,493,40,60035.402899999994
2018-07,삼도1동,744,674,228,164,600,553,360,302,451,53,45652.418300000005
2018-07,삼도2동,744,744,728,125,737,667,662,153,669,80,174912.88020000004
2018-07,삼양동,744,692,106,3,99,22,188,21,513,0,18864.215999999997
2018-07,서홍동,660,156,5,0,185,81,17,0,136,0,5544.102200000002
2018-07,성산읍,744,744,725,167,584,727,704,311,742,203,218702.05169999995
2018-07,송산동,743,713,375,108,246,462,214,30,639,0,29259.629699999998
2018-07,아라동,744,744,621,53,550,402,399,351,744,15,60226.6713
2018-07,안덕면,744,744,744,168,709,712,743,558,744,208,394717.2317999999
2018-07,애월읍,744,744,701,304,703,722,742,586,744,244,465595.51310000004
2018-07,연동,744,744,744,347,744,742,744,510,744,458,1458260.7278
2018-07,영천동,744,612,103,4,101,172,209,2,351,0,19129.3007
2018-07,예래동,744,744,728,115,742,559,618,329,744,71,368921.31879999995
2018-07,오라동,744,739,330,275,625,566,334,445,599,12,71522.08929999999
2018-07,외도동,744,581,217,40,217,279,208,33,477,0,24790.761100000003
2018-07,용담1동,741,571,115,65,406,276,169,27,293,194,23671.9271
2018-07,용담2동,744,744,744,421,744,719,744,560,744,281,1038483.5303000002
2018-07,우도면,744,698,453,80,356,327,382,267,443,6,62755.718600000015
2018-07,이도1동,744,719,404,61,586,475,291,244,616,60,45669.2757
2018-07,이도2동,744,744,497,110,643,374,471,533,704,53,83425.3367
2018-07,이호동,744,679,312,6,176,171,293,79,226,0,33263.687999999995
2018-07,일도1동,665,476,273,53,245,244,278,144,151,2,16985.2387
2018-07,일도2동,739,647,191,211,454,61,228,32,313,55,22514.2665
2018-07,정방동,744,744,672,132,545,593,628,197,643,49,101447.40829999997
2018-07,조천읍,744,744,691,135,620,591,662,374,744,113,178471.0285
2018-07,중문동,744,743,435,77,571,446,418,257,696,57,79648.5111
2018-07,중앙동,744,638,214,74,377,409,334,12,416,39,27270.6647
2018-07,천지동,744,740,588,129,351,588,459,47,546,101,52288.6362
2018-07,추자면,744,744,397,63,208,210,449,317,222,77,137528.87960000001
2018-07,표선면,744,744,584,216,537,547,531,285,705,165,116736.61559999998
2018-07,한경면,744,719,156,9,206,123,185,86,531,1,34130.723900000005
2018-07,한림읍,744,744,631,421,585,459,658,396,743,168,186016.61560000002
2018-07,화북동,744,352,74,0,276,9,63,2,390,0,8313.6352
2018-07,효돈동,595,277,55,2,147,28,19,4,182,0,4296.4696
2018-08,건입동,744,744,726,233,643,518,606,320,453,221,192700.7886
2018-08,구좌읍,744,744,654,15,709,453,313,272,735,80,100694.60079999999
2018-08,남원읍,744,744,566,278,612,510,540,704,666,364,263867.13230000006
2018-08,노형동,744,744,722,106,744,693,741,403,734,227,484110.441
2018-08,대륜동,744,744,648,101,676,624,342,314,643,68,98367.86230000001
2018-08,대정읍,744,737,272,79,641,388,158,246,518,65,61669.17469999999
2018-08,대천동,742,729,305,35,284,139,206,232,468,0,41966.02850000001
2018-08,도두동,744,744,640,156,719,528,721,367,650,39,293229.61059999996
2018-08,동홍동,744,743,555,87,470,474,290,292,465,30,79994.1904
2018-08,봉개동,740,690,355,3,421,177,367,545,422,117,80972.4411
2018-08,삼도1동,744,723,391,75,571,529,240,236,341,0,55192.0041
2018-08,삼도2동,744,744,679,12,743,681,531,347,607,123,194848.5451
2018-08,삼양동,672,655,11,0,424,88,65,162,132,0,13681.614399999999
2018-08,서홍동,707,560,30,10,70,12,4,17,50,0,10095.3438
2018-08,성산읍,744,744,744,70,671,639,658,444,701,152,260821.80570000003
2018-08,송산동,739,673,390,86,380,349,287,35,176,0,29778.4409
2018-08,아라동,744,730,465,89,696,182,295,243,554,45,75553.2144
2018-08,안덕면,744,744,744,69,744,743,739,540,744,153,566628.4967
2018-08,애월읍,744,744,741,441,739,705,711,710,744,414,528309.2727
2018-08,연동,744,744,744,214,744,744,744,667,734,420,1852132.4910000002
2018-08,영천동,739,547,231,0,154,51,62,14,149,10,18605.329299999998
2018-08,예래동,744,744,701,56,744,624,706,247,743,97,499581.93019999994
2018-08,오라동,744,719,540,129,723,445,263,216,504,6,69810.20549999998
2018-08,외도동,744,587,311,16,467,99,208,146,387,17,30897.383600000005
2018-08,용담1동,721,666,192,51,464,213,199,71,203,11,19556.714
2018-08,용담2동,744,744,744,418,744,716,740,593,744,310,1356688.8467000003
2018-08,우도면,744,736,364,46,217,174,268,328,252,5,64607.1814
2018-08,이도1동,744,718,438,13,666,432,266,106,358,4,56861.37739999999
2018-08,이도2동,744,744,592,138,736,535,266,264,690,165,118376.56060000001
2018-08,이호동,744,633,480,21,450,340,343,172,103,1,41517.804899999996
2018-08,일도1동,683,509,235,120,310,354,251,61,128,0,22234.666500000007
2018-08,일도2동,738,720,128,1,622,227,72,105,466,1,42137.1781
2018-08,정방동,744,744,721,22,678,598,562,363,640,15,121740.2817
2018-08,조천읍,744,744,555,44,680,584,637,496,718,128,234213.033
2018-08,중문동,744,744,509,68,627,445,502,202,637,157,111374.31879999998
2018-08,중앙동,744,721,293,19,347,349,134,98,184,6,28648.308300000004
2018-08,천지동,744,740,398,77,469,530,443,183,397,28,54319.27430000001
2018-08,추자면,717,716,372,172,249,144,396,558,160,66,112640.9367
2018-08,표선면,744,744,472,83,641,447,367,415,580,267,110484.1513
2018-08,한경면,744,682,243,18,326,156,89,147,208,4,31953.842600000004
2018-08,한림읍,744,744,636,190,715,502,618,539,641,196,224510.23849999995
2018-08,화북동,668,145,105,0,498,41,44,41,11,120,19526.972899999997
2018-08,효돈동,542,471,32,0,58,58,29,0,295,12,7990.357299999999
2018-09,건입동,720,720,718,115,706,698,654,576,652,142,218343.76959999997
2018-09,구좌읍,720,720,608,133,537,620,514,459,637,9,87390.99900000001
2018-09,남원읍,720,720,645,291,618,597,524,646,622,257,452093.28380000003
2018-09,노형동,720,720,720,175,661,712,717,542,714,325,350172.6167
2018-09,대륜동,720,715,627,81,552,612,456,388,657,62,71894.4991
2018-09,대정읍,720,688,351,167,309,223,266,351,425,16,36343.8461
2018-09,대천동,720,603,405,2,164,395,322,220,374,0,28358.845400000006
2018-09,도두동,720,720,691,163,598,639,658,618,631,27,246910.72160000005
2018-09,동홍동,720,714,567,105,392,497,401,164,589,34,60394.56749999999
2018-09,봉개동,719,703,394,88,292,331,174,415,452,166,69952.88850000002
2018-09,삼도1동,719,648,592,98,519,608,338,246,236,36,37914.761900000005
2018-09,삼도2동,720,720,712,247,720,719,656,477,539,109,185981.85240000006
2018-09,삼양동,712,594,96,0,150,308,64,95,399,10,14393.4127
2018-09,서홍동,720,704,9,40,214,56,121,283,78,33,27284.584400000003
2018-09,성산읍,720,720,719,251,606,717,670,562,701,174,209129.1774
2018-09,송산동,719,698,350,164,355,548,304,187,622,229,35064.039099999995
2018-09,아라동,720,720,592,84,620,430,314,223,619,211,76632.08330000004
2018-09,안덕면,720,720,720,145,701,720,703,665,717,91,234018.9317
2018-09,애월읍,720,720,719,421,715,718,701,710,712,313,571870.0111000001
2018-09,연동,720,720,720,242,720,720,720,691,720,412,1459932.8088
2018-09,영천동,720,585,146,0,85,277,36,37,216,17,21946.339700000004
2018-09,예래동,720,720,705,124,718,667,685,498,720,65,267309.93860000005
2018-09,오라동,720,710,398,80,407,559,186,417,401,28,44499.76609999999
2018-09,외도동,716,510,458,33,173,259,118,683,403,3,37830.08469999999
2018-09,용담1동,712,546,322,49,192,375,336,119,229,143,18785.7641
2018-09,용담2동,720,720,720,313,711,699,720,720,720,272,920013.9907999999
2018-09,우도면,719,635,549,98,163,340,202,426,258,27,53487.5796
2018-09,이도1동,720,687,504,65,573,395,427,295,361,71,44307.901399999995
2018-09,이도2동,720,716,618,27,645,585,517,338,529,9,78578.47129999999
