base_date,emd_nm,use_cnt,mct_cat_nm_0,mct_cat_nm_1,mct_cat_nm_2,mct_cat_nm_3,mct_cat_nm_4,mct_cat_nm_5,mct_cat_nm_6,mct_cat_nm_7,mct_cat_nm_8,mct_cat_nm_9,mct_cat_nm_10
2018-01,송산동,16505,340877975,187089511,6895432,20063733,14658664,16998321,1335029,2047470,16384573,60659026,2253690
2018-01,아라동,181328,1984120741,1925810813,127865459,232180643,193745493,207279874,16722969,24875042,585600618,306863781,25247956
2018-01,안덕면,33567,498887916,375508356,24369313,46522250,27233541,39796188,488054,5775633,210830294,40213833,3701698
2018-01,알수없음,7933,130914941,94523638,4192158,9730147,7231155,6703181,0,2033722,21662821,12780780,658735
2018-01,애월읍,140171,1571393015,1483332534,88610396,172749856,121811260,166233402,4226528,21997046,1013477642,170638016,18309272
2018-01,연동,299618,3809437666,3331714580,189598198,373344812,261518043,279225171,12978112,89122883,565858077,538721639,98005451
2018-01,영천동,20978,486890969,203369745,6873656,22766688,16607634,21472609,0,2931270,27371769,34958615,610313
2018-01,예래동,16466,231678057,170731748,7385131,24363911,14215557,20463800,132570,2612120,81334397,33563042,2697897
2018-01,오라동,86971,1158022422,1004519273,55024450,100831269,77758788,92195315,2982334,16600219,179406098,110944644,7032199
2018-01,외도동,140824,1713316949,1404384684,89930185,158129005,121859672,144019955,4294286,28815808,426542357,121858394,11168777
2018-01,용담1동,41706,539434648,461916450,27207930,45810791,34679922,40798466,1473000,7910992,120968555,96679670,7724559
2018-01,용담2동,98674,1117726002,1052096995,53831524,120341645,85055736,107335522,4866301,24381096,281823742,340181302,17469927
2018-01,우도면,1776,38790229,9680163,190508,284780,1484048,2370941,499838,157120,16130532,1326388,957941
2018-01,이도1동,54319,624137503,594875274,31888068,69882557,50991432,52938247,2008190,12203805,185795039,113691444,14965089
2018-01,이도2동,332316,3429027298,3683885289,207548723,389808975,325558705,373815904,33457084,78819739,976206280,669525432,67000586
2018-01,이호동,21044,259785229,246532377,15001008,22851877,20855180,22160550,932900,6388401,74484848,16380547,1204914
2018-01,일도1동,18827,212170618,219277261,14830262,24913340,14463289,18674005,1007532,5846337,132771656,58611750,2232577
2018-01,일도2동,209067,1970085162,2477042239,115946905,258806247,213071870,226260093,14708396,55298988,989645165,352154717,36150143
2018-01,정방동,11593,234779652,135475738,6010920,16843264,8612536,8681862,117840,2207045,23442011,58580523,2037159
2018-01,조천읍,94488,821022065,965881550,49916288,116709399,90680116,111281764,3440928,13890881,732838797,136210423,6612444
2018-01,중문동,44369,550061264,443576962,26697783,55254931,36228882,63585236,1465144,7817702,348812440,70224932,8474807
2018-01,중앙동,15802,306888553,191633372,8598097,31838109,14924880,19055808,199837,4037493,45944935,127122404,1429792
2018-01,천지동,15549,296512496,186306415,4671227,18141468,10698991,18268931,1082164,2128485,19475910,93662080,1741577
2018-01,추자면,3119,50310018,49020458,1287402,3811142,1721446,4118508,700166,2138796,4724010,8363301,806222
2018-01,표선면,31350,344391971,362376757,11115700,46806539,20524490,32391859,1972347,6270070,196851036,131578967,3744022
2018-01,한경면,20817,250447807,237494245,11536218,38905367,12775233,20178873,515550,1966455,119561009,36974412,3851699
2018-01,한림읍,66249,777555849,834594598,36467945,82580799,58392031,67364562,555321,7621302,487301151,144555310,11548958
2018-01,화북동,148040,1544944513,1660538507,83699001,167612179,147762696,168398736,6799368,36544148,466021065,256633919,15919349
2018-01,효돈동,18136,332910766,236700348,5787908,26983396,11177027,18933599,219477,4528984,50949450,22349781,2980861
2018-02,건입동,49921,638040404,584133788,42709504,57923517,50334436,54642962,4075815,17200575,308272592,240018758,10053449
2018-02,구좌읍,35866,457049153,367231275,20684603,34809465,29003032,32747108,3266031,4995135,281586398,139615372,3099771
2018-02,남원읍,42175,725555461,462634778,17334131,63198898,31361430,50426219,2903682,9356037,295526710,166079267,5750592
2018-02,노형동,354245,4784058981,3524197851,232025049,465964188,380163022,361399706,7816176,94305606,1238875487,747253713,77263566
2018-02,대륜동,54548,1076597703,550304122,38653103,77738384,54710805,64432502,2025438,13295910,137353472,182735586,7725124
2018-02,대정읍,71809,1272761719,648026022,126692003,77531439,79017366,82271462,2332530,8215689,216284479,160364460,10003111
2018-02,대천동,53280,985552230,497570265,24931053,67391731,53923844,63690735,1192671,6536952,171048925,124944685,8275836
2018-02,도두동,14088,224230415,163114508,7162432,12651799,12317520,19129533,901716,4446477,95192115,85857936,2746713
2018-02,동홍동,100801,2075923582,1080081441,38898265,130953956,85239404,113457732,5422032,22962951,167942699,352916023,11246442
2018-02,봉개동,12639,173444389,124105022,8274369,14674401,12674049,17570749,1256241,3789750,64055336,58094021,350173
2018-02,삼도1동,81885,1071054892,860862252,47278769,96488013,78149464,86264907,4158456,22732632,221072649,208362265,15414063
2018-02,삼도2동,45279,565579208,491780358,33373273,50847687,40255068,45261449,5387313,11836245,170198751,129936446,12665648
2018-02,삼양동,114428,1486209804,1145193945,72127696,138660302,129550398,133180821,1697808,23937039,450562695,224886701,13238650
2018-02,서홍동,48632,1134874916,488718388,20472205,74327022,39449490,60805587,1447929,11964363,55288590,105507081,4811809
2018-02,성산읍,34638,483968878,378722139,13168795,40007486,23222123,36390157,1717368,3887061,221399202,126977161,5715921
2018-02,송산동,13895,319033626,137965923,4528140,22428474,10284455,14915331,915408,1500252,26374459,91557330,2755808
2018-02,아라동,161513,1970716382,1729687570,109081832,206307144,193842069,186613843,4025448,22031895,689367979,357802781,23446455
2018-02,안덕면,31228,452187204,343238098,16637027,51058935,27248723,36203897,360882,6366291,207875024,56283167,4330633
2018-02,알수없음,4922,91680069,58689291,2489352,7638180,3322952,7317641,0,883623,11233504,11051205,1564800
2018-02,애월읍,120409,1423271896,1266578444,80598193,141766870,104704487,143318908,4041096,16928202,1019126907,190721935,16387663
2018-02,연동,263826,3657058288,2865288612,177799208,333010713,251614557,243667770,7075830,88255698,679052754,661661157,86238709
2018-02,영천동,19182,501395223,175101316,9729193,18698871,15388440,16115093,453303,2873364,57837573,95389330,1227390
2018-02,예래동,14093,216331644,144513584,6810792,18995205,9663131,19441075,481176,1288515,102208726,73947558,4494692
2018-02,오라동,77815,1127789356,881010242,48886895,94569959,73467490,84193381,7572165,16843605,206149541,171530002,8658528
2018-02,외도동,120571,1663049197,1162494636,78887598,137670615,112153150,150848091,1868469,21960990,420577262,149838990,8748455
2018-02,용담1동,36798,477341114,413949698,17701801,43806087,30448517,36594756,1214676,9216672,133445217,128911305,5389612
2018-02,용담2동,87599,1104533399,905701023,46511038,102741345,73288167,97116281,4445010,20720886,289189713,251338570,15259588
2018-02,우도면,2056,41557421,12669012,0,1315410,1964802,2843046,0,283620,14565539,8884593,166260
2018-02,이도1동,47755,613882778,461826320,29294792,54015869,47743227,48153397,1326168,11159469,176184210,150312146,12028300
2018-02,이도2동,294440,3385993022,3214055534,173671108,331450557,313016284,344256099,13122315,76076664,1103300000,768928208,60952576
2018-02,이호동,19261,258995623,215026601,12127787,23394249,15370958,20850961,135942,3435714,85468255,18209432,1818249
2018-02,일도1동,17170,210488585,197943958,11944950,28771782,16096611,15259735,512472,2898303,122482521,72273907,1860450
2018-02,일도2동,189057,1847652366,2111581592,111601107,216477855,201146605,214793989,6586830,59966559,1017065560,578592184,33885463
2018-02,정방동,10609,196809295,117151686,3253806,12738939,7357496,10793110,145722,1660155,25472989,47424784,1937418
2018-02,조천읍,82160,790289158,823328294,41498889,99159127,77712492,101779973,7668009,13479285,750841899,191979591,8208061
2018-02,중문동,39765,531330429,369515442,21019568,65674656,31390193,57357158,1750865,6559935,357174743,48465817,5826728
2018-02,중앙동,13801,333738981,176703084,8050896,18699360,13004908,15478856,1272378,5848440,25706778,90763046,1369982
2018-02,천지동,13235,277649410,183729721,6195141,14420610,8867087,14858462,175062,3814689,17089671,115457399,1263576
2018-02,추자면,2832,43064277,44812449,1147683,1843530,1861623,3306129,894870,845481,10182401,9224985,293400
2018-02,표선면,26487,394130971,260292255,5134793,36354216,19999956,32180407,578487,8794176,206417754,155153931,2901746
2018-02,한경면,18040,255593552,191825898,11997419,29911641,11891015,14373911,1149639,2056245,119647611,40322695,2619509
2018-02,한림읍,59626,759892308,688308152,31993462,78629244,55679988,56012164,1160397,6776562,503088533,207576831,11825880
2018-02,화북동,130302,1491742232,1426531379,77688924,149857571,146344450,141614695,4096353,31972287,487641655,322962202,16615977
2018-02,효돈동,16228,307108186,184792172,4586331,17331138,11579277,17579257,905628,3195615,60735857,29669587,1304163
2018-03,건입동,60518,571735294,712431597,47404002,76664916,50376962,59924322,2697144,15222480,351333953,137375749,13885371
2018-03,구좌읍,42607,441835136,455099016,23514697,53201928,35661685,35047818,2209572,7595988,293907713,100757408,6584240
2018-03,남원읍,51862,796066086,578447844,24026180,75123972,35441761,46914611,3027768,10858440,288682870,161757401,11110640
2018-03,노형동,410648,4783419384,4252452062,282756106,518085151,407245275,390614473,11183160,98522754,1164597107,597293952,96006889
2018-03,대륜동,68043,1278818402,705924797,41663545,106977970,67980721,74877308,2443764,6935724,100759216,157259157,9876703
2018-03,대정읍,89222,1390870126,864237410,142517541,106743976,96738418,113894826,9075924,9611220,256697518,146046412,10818588
2018-03,대천동,63897,1054764110,610229964,32052373,84533964,63562661,72304613,1646724,9344064,138258250,91968968,8757791
2018-03,도두동,15879,189951360,169281850,10198078,17553084,14010094,19927477,1299864,3802668,52595589,109565959,3483312
2018-03,동홍동,121343,2283591137,1223078835,42196724,160674900,95198554,120180051,5847912,24657564,178357332,258876773,17231906
2018-03,봉개동,14964,190659937,149752500,8276473,20003588,12412718,16182126,0,3543876,69382430,29110066,1462765
2018-03,삼도1동,94175,1021999078,1053646752,55202154,125668608,72484097,95275873,5545332,25292244,212102627,125603363,20535097
2018-03,삼도2동,52102,566074143,593347844,35880132,75602393,41212881,50619175,2408340,10327572,193765196,111668553,16955600
2018-03,삼양동,137361,1455599763,1510800241,85677226,187636205,139324908,149416909,4646448,21675060,398254814,145133232,19594337
2018-03,서홍동,56767,1210616231,598918931,23264564,69267204,45830194,71689074,2269104,13405032,66830231,63830899,4710654
2018-03,성산읍,41257,564714600,414489090,13334160,52136797,25828672,39963045,1184736,4638576,253961889,77332806,9245275
2018-03,송산동,15957,298098078,177149864,5671284,27677460,55597968,14587849,146616,1982268,31531150,23244688,3375415
2018-03,아라동,198836,2104903134,2171980185,154692515,266923678,203778628,219617388,5232912,26819904,582668071,238016610,28886905
2018-03,안덕면,39514,526240189,436473618,26089088,60164220,35278024,41714072,1705272,5711628,200183778,50516297,4460128
2018-03,알수없음,5107,86853301,61259904,1507094,5944344,5170329,4987404,259284,1165056,7192598,2670970,436404
2018-03,애월읍,148555,1525346025,1535258079,92274230,195442326,130300985,156059053,5750004,19255896,1008894706,212341345,22450059
2018-03,연동,316717,3726177148,3490155653,191072211,393771020,266874077,287655281,7330308,87293100,602405331,490598832,113823808
2018-03,영천동,21404,470683950,198861382,8895065,23687340,14441529,19611070,312912,1328400,18776117,66035896,779328
2018-03,예래동,16559,183545125,173794917,10969337,22427328,11699564,24026426,1764804,2486076,92220974,48443304,4022346
2018-03,오라동,90803,1101766594,1079336612,71887522,114250419,84252185,96065951,1353984,20681220,195771243,174174002,9326058
2018-03,외도동,144502,1670372422,1510817704,102815528,180503041,119064737,151671988,9261408,27504768,418897507,124221096,11630634
2018-03,용담1동,42414,530255163,492973191,35664687,49210332,32165461,44699185,747840,11308620,113210284,82433714,6682541
2018-03,용담2동,98280,1088570124,1057658336,56483224,128146517,77600526,102903571,3591108,23728176,325698660,345167224,17936894
2018-03,우도면,2870,54075767,26708318,1866648,1227540,1887312,2332277,271584,0,26716605,32362382,246000
2018-03,이도1동,57007,563821321,605378548,35206265,74183268,53843348,56734782,869856,11856216,153227221,83687305,11879665
2018-03,이도2동,339774,3354653805,3797130865,214223515,439709994,338407588,364560064,11863104,77649900,1054726626,620920530,86659624
2018-03,이호동,22554,246818884,260878769,10835907,32629932,19821746,21869892,1630488,4089012,91197021,21902148,1625568
2018-03,일도1동,19845,178686971,238311811,9796507,29134764,17527549,19218653,1230000,3748056,127350804,41414985,2790870
2018-03,일도2동,217870,1833133931,2469476903,126681194,250861403,213210610,248144531,9133980,62257680,1005305522,383991780,41997592
2018-03,정방동,13254,246860162,144523819,3518784,17246076,9498060,10713325,1401216,1874520,40419868,70348915,2077716
2018-03,조천읍,98799,809855812,1036824220,50264885,107980470,96337462,112363353,6847656,12038748,782215106,144314720,9205517
2018-03,중문동,47096,615287672,483033665,27746241,61702704,36957741,55213812,1620156,8763012,340966774,103562211,7040151
2018-03,중앙동,16763,344512422,187993200,4362712,32859696,15035175,13137089,973668,5776080,44897875,105072750,2177312
2018-03,천지동,15755,286847906,202740900,6550882,22129176,12206521,18836324,843780,3160116,17198846,78512868,2584722
2018-03,추자면,2738,38446255,39482016,748332,2825556,1452384,2552102,554976,927420,7850155,4312380,0
2018-03,표선면,34159,420716679,364959139,11978084,46972273,25389120,33169754,1081908,6646920,217077928,146161490,5125312
2018-03,한경면,21826,274921041,244025751,12976500,40836492,14083894,20466363,623856,3386928,135833625,40917819,4177862
2018-03,한림읍,68292,803400379,800246043,32480709,105624036,68376094,65286531,1325448,5875956,471210019,181833695,11035831
2018-03,화북동,152750,1452638903,1799298986,98715584,180168875,148070084,169203918,6265620,37515492,445673302,234944664,17539210
2018-03,효돈동,18692,317696505,220218462,5348040,34433112,11653512,17094195,863952,4390116,63843593,34762014,2150581
2018-04,건입동,63252,609269434,774520912,52559880,81011184,52984853,57436255,6805616,17627344,369806863,188776498,12702957
2018-04,구좌읍,44662,509164386,469297988,28794685,56634768,29294852,41048910,2952192,5150464,294797997,101823392,4756541
2018-04,남원읍,52175,764147324,605410111,23436099,79077776,34649990,54779183,3364864,9731520,283423061,162869686,8182562
2018-04,노형동,413252,4581762319,4291614129,252297033,499974696,408182355,380810546,30095544,102871888,1321894013,436153043,94927538
2018-04,대륜동,67656,1179262220,687545190,37773922,96539852,70495777,77253487,2437344,6115680,128879947,147440018,10689099
2018-04,대정읍,92489,1404519628,874907171,138399211,102991424,98942527,111805691,4755648,9486496,270738715,105700178,9279317
2018-04,대천동,65955,1147282473,624232269,34720669,80717369,66386622,75996129,2365920,7973200,131377901,111362119,10657751
2018-04,도두동,16301,182466693,226206901,8294707,20722880,11866900,21210944,2243904,6366656,84865998,105358186,3147071
2018-04,동홍동,120386,2234843109,1207734556,48431424,144349293,95259523,113354947,5477328,20815136,164146438,205519188,16376805
2018-04,봉개동,15893,208883357,159394312,11719190,21805648,14471791,16524189,335296,2921440,76874028,32993722,994480
2018-04,삼도1동,95869,1180348410,1019191912,49227628,134269184,72469616,88606979,5338448,24805456,237457469,146783608,21376608
2018-04,삼도2동,52977,564335063,580751804,32436142,58860320,37272169,50914564,4998688,10797424,171514816,141208869,17399334
2018-04,삼양동,141598,1483506545,1498240376,75173436,172933872,137054348,140448896,8804000,30676608,411210039,160505416,20245977
2018-04,서홍동,57090,1124463048,576026326,27900967,66832528,51974426,69596139,2822736,11991296,72281481,112754886,6299200
2018-04,성산읍,42812,553859838,429868419,14133768,56825728,31910705,40690203,585280,3308320,224476158,92765343,6716832
2018-04,송산동,16251,341811158,173046911,8116544,26540464,12275703,14144531,718208,2338640,91311616,116523693,1859008
2018-04,아라동,201340,2103259778,2127640354,144907715,274224264,198178439,217105152,23588272,23709792,604006170,279316799,30214089
2018-04,안덕면,39334,493396196,460772393,21889919,56219864,32007080,42576442,1596624,4125728,214948046,36450405,5135733
2018-04,알수없음,5060,87712292,50349952,1642256,4736800,3662018,3510688,0,416640,9471567,5362007,1189904
2018-04,애월읍,151422,1585189912,1532432877,77624336,181505992,127148830,165331283,7959808,21394960,1093851866,232342172,25977058
2018-04,연동,313588,3651990762,3493528545,175588762,395411994,254891028,261188788,13747632,88253280,820334299,513241529,116034230
2018-04,영천동,21833,460485803,219685592,5843872,33543488,13837706,17307027,345216,2414528,19023340,43474102,370016
2018-04,예래동,16460,199828432,172415155,5037872,26738864,10162545,19374702,0,3312288,97376009,42592363,4367479
2018-04,오라동,91438,1094941130,1040286791,56121389,108531843,81388450,85891429,3682056,19029040,198626671,102122522,8198930
2018-04,외도동,145213,1681382363,1453568464,94314982,153093872,115007298,142389695,4438208,30174160,444613906,112918765,14892991
2018-04,용담1동,42835,525505503,503541780,21805201,63124928,34119196,38201127,2994352,8274272,126073036,106436292,5636297
2018-04,용담2동,99527,1101745755,1012165128,52053663,115986029,75507123,96569663,6402368,19274064,339412054,317590749,18036599
2018-04,우도면,2934,58632956,22467312,4587504,2035584,2437344,1869201,0,238080,15727615,10746138,535482
2018-04,이도1동,57498,622827395,624125282,30644294,68694264,52788537,55604800,3509200,11758176,174793426,96569713,15735675
2018-04,이도2동,345552,3440384182,3841676159,193317489,419151843,318881376,361283077,15257456,85508168,972807825,617239006,80146420
2018-04,이호동,21549,255081787,246331902,9569427,30117616,17950934,22317966,499968,5747648,73286927,31616627,1479221
2018-04,일도1동,20164,208144067,260090644,11490435,25853157,14070281,13732356,1812880,3863840,116122528,78933242,3500322
2018-04,일도2동,215302,1809153111,2383515202,118208781,259428237,201275202,222604304,17717120,53218320,974894617,389607603,49553059
2018-04,정방동,13111,229827551,145255336,7525808,15408240,11093933,13034037,840720,2251840,29351595,49830293,1126019
2018-04,조천읍,100748,897578711,1057002324,48227410,116554048,94438525,108192033,4897504,17087696,817003959,182420965,9186143
2018-04,중문동,48526,593452690,474995292,23334047,67302240,40088040,57290280,3874256,8032720,386844485,125854891,6640617
2018-04,중앙동,17749,373741452,208347032,6413280,26327184,15629258,18398028,0,3793904,42972536,54927933,2028144
2018-04,천지동,17103,299382228,204643549,6220336,21000144,13251978,18686403,621488,4030000,22182513,88423061,2882504
2018-04,추자면,2553,31972112,37742872,470208,2424944,990016,2148176,0,595200,9557970,6738160,99200
2018-04,표선면,34827,442979089,346168766,10832937,50158000,23391212,32974675,2995840,7416192,227084027,229184884,5551098
2018-04,한경면,22408,277154978,271352226,6553227,40882800,12916163,22411958,425072,2155120,138339410,34251280,3356432
2018-04,한림읍,71489,818054784,859465715,36568617,113092464,70799437,59893685,1310432,6755520,450313094,142205135,16275476
2018-04,화북동,155375,1507981158,1611715455,93461106,172578934,159474887,167705683,7634928,36310176,500768841,236412796,20223409
2018-04,효돈동,19889,329450987,216496659,7290506,24242000,14212831,16459363,1545040,2750320,62759635,29952299,3880406
2018-05,건입동,67433,645346953,812586954,41218256,89566934,62435197,61542364,9269865,18172935,398390363,159329150,14671622
2018-05,구좌읍,45724,512503358,535549090,20426920,54555930,34605898,36738010,5098995,5603895,341680633,126531708,5447475
2018-05,남원읍,54850,805075879,631756588,25687901,98695080,41649602,57696311,4705470,9972270,275083544,200911248,6801033
2018-05,노형동,440195,5033199274,4717424202,285968509,596327243,417865494,409226804,18119475,119652885,1310845799,622394467,108013637
2018-05,대륜동,71990,1306998100,737595595,54430548,92392642,69360991,79864540,1735470,9189675,115749619,130416068,11586945
2018-05,대정읍,98256,1498396392,931205191,167869947,106571520,114063356,131251577,1590435,7903170,319022498,184035606,13530464
2018-05,대천동,70161,1224201923,700969996,44893953,96727208,65995683,81740146,1365705,6337980,141988727,99664590,11553944
2018-05,도두동,16279,211797639,198143749,5284670,18346680,12475152,18930534,857835,6664185,75231001,119856925,2426490
2018-05,동홍동,129826,2416310250,1345039398,66569087,164805152,108269874,113404599,8805060,17643285,153478579,184230590,17178045
2018-05,봉개동,17615,223354057,200775367,8749125,22317867,20852226,20020176,2255220,4741605,95079904,65018699,1024650
2018-05,삼도1동,102016,1182934873,1130936131,56471335,131586840,77670631,98991364,14019390,23485275,236472595,134753064,22179705
2018-05,삼도2동,58566,647414664,688450655,36715760,80974575,41721276,52354520,20154420,15776145,179944935,140694895,16390392
2018-05,삼양동,151999,1441309428,1580072257,88940648,180398295,141498036,167821512,12646755,25319745,399414519,372335146,24493189
2018-05,서홍동,63013,1286606284,661635372,33086940,87369975,58032669,78832711,1633995,13848120,68074949,91865070,7424505
2018-05,성산읍,45411,608122805,486839877,18806932,45918180,32032458,41131432,3810015,6542910,245494616,132998288,5350208
2018-05,송산동,17754,371533492,215373956,10927323,27834345,13504592,14918459,1464210,1606275,23922268,42896751,1163250
2018-05,아라동,215301,2210045515,2425342979,150711368,323308311,215950636,226268959,9977220,28325880,625779451,284176408,33047637
2018-05,안덕면,43036,555179979,497645484,28248166,69479190,38530511,47506041,1848330,7118100,226890236,55842745,4329270
2018-05,알수없음,5073,65988218,63246052,2963813,7268580,3822789,4911390,143550,450450,13009791,25024230,1102588
2018-05,애월읍,161575,1701090128,1768190048,104342191,214972659,138679282,176686938,6117210,24951465,1118059429,215908588,27178604
2018-05,연동,334076,3958816189,3729264139,226830539,445509158,284560669,277023689,12704175,103468187,826585936,496732906,131090760
2018-05,영천동,23474,478283412,224364700,11396385,31469130,15554536,23332815,0,2569545,31142091,25849544,608850
2018-05,예래동,18120,235337837,197468965,15044189,26082045,13311000,23642190,552420,3587265,113658543,28328059,5071275
2018-05,오라동,99546,1207845286,1191918721,68106977,134991846,89358137,107404166,4283730,21197385,218443853,113828872,11558821
2018-05,외도동,155162,1830537306,1617589297,110112016,188960211,134894142,158471531,11776545,28935720,455996556,127822123,14111273
2018-05,용담1동,46736,566954347,604081665,26848825,58831245,35504871,45161625,4686165,9632700,135940027,101280768,8391490
2018-05,용담2동,109217,1256137105,1168668255,58984351,159568101,87444235,99671719,6619140,19709910,318451376,275783989,19106590
2018-05,우도면,3509,65548454,34818795,215820,3005145,3712501,3069000,0,123750,24892349,10190367,168300
2018-05,이도1동,60091,660082356,672169986,39420787,78775785,59382583,65274763,937035,17184420,173075332,99534779,17357359
2018-05,이도2동,366652,3693693374,4138436636,239749170,479037389,341745703,385097012,30161835,90701325,1125445745,762540421,94636446
2018-05,이호동,23939,297284684,289506050,13330796,35506350,20493897,22561259,295515,5281650,89922451,35357855,1503959
2018-05,일도1동,21297,211801153,249943321,11727442,30191040,18156157,15552999,1750320,4547318,119618044,42759884,3445611
2018-05,일도2동,228428,1921632529,2622633599,138435442,316186399,213820603,247005204,19353015,59382180,1004142206,451307051,51378556
2018-05,정방동,14006,256254429,143343884,7710120,24641100,11162255,11830104,1534005,2165625,29590759,71914494,1232055
2018-05,조천읍,107134,923305193,1134090639,54535714,135659205,95561335,121503642,16249860,15502410,851699210,206933964,7764818
2018-05,중문동,50307,656270214,513987608,25940972,61600275,39407908,60623962,2856150,9288180,333600604,94868285,11969595
2018-05,중앙동,18586,356001038,198632364,10467270,20789505,14372724,17755353,1238490,4721805,68120392,67022208,5029413
2018-05,천지동,17153,335519522,201012789,7266848,21125610,11812832,20648480,1429065,2479950,22432120,75994232,2523015
2018-05,추자면,2951,34311178,46129050,3181860,2583900,1272150,4054298,0,668250,10014893,9197100,777645
2018-05,표선면,36224,492788151,387838836,10986525,56517615,33147482,35970066,1918125,12964545,227047600,199713425,4462773
2018-05,한경면,25342,311698785,314841684,14518449,51853725,15391783,19467756,789030,3469950,151978969,47954413,2806492
2018-05,한림읍,77608,942380411,901526028,41000878,101222055,70027954,70349995,3820905,8843670,502811651,252750767,14525727
2018-05,화북동,168013,1673527736,1870965366,98987860,198567568,151581820,179142586,12259170,39440610,510074835,345990007,21581679
2018-05,효돈동,21561,373642292,243524903,7996725,25575165,13898020,20578734,553410,3176415,57930401,44352743,4923270
2018-06,건입동,65968,668052501,744740223,37997196,77698988,52924937,61144603,7693803,16318302,362702209,193016025,21360648
2018-06,구좌읍,45998,558630810,511663173,25188220,50135072,27716858,39004610,1945372,5612334,298246375,116741192,5164276
2018-06,남원읍,55313,815318593,614334548,23425381,84594536,37112639,58326284,2490254,6953050,314597759,128528376,5468580
2018-06,노형동,431154,4869999596,4417966009,252633763,511637282,379581348,420638434,12155364,106778100,1229977306,552841872,123364112
2018-06,대륜동,72187,1338937017,708003567,50509672,96715963,59756412,81929901,3212482,9546056,115031701,105710318,14448512
2018-06,대정읍,90201,1255913417,873794887,132670344,105259494,98664346,109765120,6674928,8342672,276970453,143316710,12082054
2018-06,대천동,72815,1227135732,657210733,39820649,108029106,63263812,89232653,2730338,9249162,186496155,78387773,11531590
2018-06,도두동,16409,204889415,216486494,9323559,19243770,12151343,17397643,471770,4675216,52744132,32977118,4605710
2018-06,동홍동,128457,2385898872,1186673502,57544800,177574722,95589595,133952398,4111562,19967974,213095909,193353131,17023190
2018-06,봉개동,16799,204092593,168652885,6458704,24513762,21831095,18192094,1717638,3509870,92200113,44434362,544931
2018-06,삼도1동,101871,1157180132,1088591823,60542244,125481583,73125141,101402687,7273162,19429020,234435206,162134703,24163911
2018-06,삼도2동,56700,614324126,618990599,30597398,73560552,37360576,53750757,3031678,13716898,219008059,129131700,17394184
2018-06,삼양동,153590,1319598980,1520142225,89474093,203352976,135128366,156497471,9740692,26654758,372658088,474120254,26191089
2018-06,서홍동,60973,1220248320,622145271,35910194,72837336,52937510,79214185,2472964,12799540,68337246,94274910,10020790
2018-06,성산읍,44814,587009480,491431298,18046685,39760084,26204670,44115386,2602886,3748472,249344277,174566559,5989750
2018-06,송산동,17699,369774117,177724157,6433362,22928022,10860738,18140668,517712,1126320,22897299,109465015,1757800
2018-06,아라동,208791,2145020816,2264644893,148737596,282728351,183620393,236245251,11170822,29539224,659530162,287238697,36367691
2018-06,안덕면,42664,493974295,488910809,33427177,58958505,37040266,56423989,0,7386288,220279293,68789204,5881070
2018-06,알수없음,4802,108210997,51139004,1900912,5507606,3998387,3612128,0,1164358,7759405,2153445,1658358
2018-06,애월읍,158754,1618278793,1675512841,89641931,197181088,116485842,169200188,10616307,27221376,1124556469,179597749,24219337
2018-06,연동,329510,3691181089,3600569340,193309382,438908132,264652546,295879341,13091988,96451030,879770212,462304913,150308252
